Directors,Stars
"René Goscinny, Albert Uderzo","Roger Carel, Jacques Morel, Pierre Tornade"
Julio Medem,"Najwa Nimri, Fele Martínez, Nancho Novo"
Joseph H. Lewis,"John Dall, Peggy Cummins, Berry Kroeger"
Éric Rohmer,"Marie Rivière, María Luisa García, Vincent Gauthier"
Ali Atay,"Ahmet Mümtaz Taylan, Alper Kul, Sarp Apak"
Robert J. Flaherty,"Allakariallak, Alice Nevalinga, Cunayou"
Baz Poonpiriya,"Chutimon Chuengcharoensukying, Eisaya Hosuwan, Teeradon Supapunpinyo"
Sam Wood,"Gary Cooper, Teresa Wright, Babe Ruth"
Mahsun Kirmizigül,"Talat Bulut, Mert Turak, Mahsun Kirmizigül"
Larry Charles,"Bill Maher, Tal Bachman, Jonathan Boulden"
Ayan Mukerji,"Ranbir Kapoor, Konkona Sen Sharma, Supriya Pathak"
Otto Preminger,"Dana Andrews, Gene Tierney, Gary Merrill"
Mong-Hong Chung,"Chien-Ho Wu, Chen Yiwen, Samantha Shu-Chin Ko"
Carol Reed,"Ralph Richardson, Michèle Morgan, Sonia Dresdel"
"Mani Ratnam, Sruti Harihara Subramanian","Vikram, Aishwarya Rai Bachchan, Trisha Krishnan"
Vikramaditya Motwane,"Harshvardhan Kapoor, Priyanshu Painyuli, Ashish Verma"
Yilmaz Erdogan,"Kivanç Tatlitug, Mert Firat, Belçim Bilgin"
Anurag Basu,"Rajkummar Rao, Sanya Malhotra, Abhishek Bachchan"
Robert Townsend,"Eddie Murphy, Tatyana Ali, Billie Allen"
Jirí Menzel,"Václav Neckár, Josef Somr, Vlastimil Brodský"
Imtiaz Ali,"Alia Bhatt, Randeep Hooda, Durgesh Kumar"
Akira Kurosawa,"Takashi Shimura, Toshirô Mifune, Reizaburô Yamamoto"
Pier Paolo Pasolini,"Franco Citti, Franca Pasut, Silvana Corsini"
Shigeyasu Yamauchi,"Masako Nozawa, Ryô Horikawa, Takeshi Kusao"
Ozan Açiktan,"Engin Günaydin, Demet Evgar, Erdal Özyagcilar"
Ingmar Bergman,"Liv Ullmann, Bibi Andersson, Max von Sydow"
"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Shah Rukh Khan, Kajol, Dalip Tahil"
Dibakar Banerjee,"Sushant Singh Rajput, Anand Tiwari, Neeraj Kabi"
Aanand L. Rai,"Dhanush, Sonam Kapoor, Mohd. Zeeshan Ayyub"
José Luis Cuerda,"Manuel Lozano, Fernando Fernán Gómez, Uxía Blanco"
Ziad Doueiri,"Adel Karam, Kamel El Basha, Camille Salameh"
Davis Guggenheim,"Jimmy Page, The Edge, Jack White"
Behzad Khambata,"Yami Gautam, Atul Kulkarni, Neha Dhupia"
Aanand L. Rai,"Kangana Ranaut, Madhavan, Gunnit Kaur"
Ram Madhvani,"Sonam Kapoor, Shabana Azmi, Yogendra Tikku"
Fatih Akin,"Moritz Bleibtreu, Christiane Paul, Mehmet Kurtulus"
Jean-Pierre Melville,"Roger Duchesne, Isabelle Corey, Daniel Cauchy"
Aleksey Balabanov,"Sergey Bodrov, Viktor Sukhorukov, Sergey Makovetskiy"
"Bonni Cohen, Jon Shenk","Maggie Nichols, Gina Nichols, John Nichols"
Michael Caton-Jones,"John Hurt, Hugh Dancy, Dominique Horwitz"
Asghar Farhadi,"Hediyeh Tehrani, Taraneh Alidoosti, Hamid Farrokhnezhad"
Tom DiCillo,"Johnny Depp, John Densmore, Robby Krieger"
Priyadarshan,"Akshaye Khanna, Aftab Shivdasani, Rimi Sen"
Philippe Claudel,"Kristin Scott Thomas, Elsa Zylberstein, Serge Hazanavicius"
Mustafa Altioklar,"Okan Bayülgen, Müjde Ar, Savas Dinçel"
Shonali Bose,"Priyanka Chopra Jonas, Farhan Akhtar, Zaira Wasim"
"Josh Kriegman, Elyse Steinberg","Anthony Weiner, Huma Abedin, Jordan Zain Weiner"
"Khurram H. Alavi, Ayman Jamal","Adewale Akinnuoye-Agbaje, Ian McShane, China Anne McClain"
Rahul Sankrityan,"Nani, Sai Pallavi, Krithi Shetty"
Stacy Peralta,"Sean Penn, Jay Adams, Tony Alva"
Luv Ranjan,"Kartik Aaryan, Raayo S. Bakhirta, Divyendu Sharma"
Christopher Kenneally,"Derek Ambrosi, Michael Ballhaus, Andrzej Bartkowiak"
"Julie Cohen, Betsy West","Ruth Bader Ginsburg, Ann Kittner, Harryette Helsel"
Chris Paine,"Martin Sheen, Tom Hanks, Mel Gibson"
"Ketche, Can Ulkay","Timuçin Esen, Zerrin Tekindor, Ayça Bingöl"
"Lisanne Pajot, James Swirsky","Jonathan Blow, Brandon Boyer, Renaud Bédard"
Jorge Furtado,"Lázaro Ramos, Leandra Leal, Luana Piovani"
Ram Gopal Varma,"Amitabh Bachchan, Abhishek Bachchan, Kay Kay Menon"
Jeffrey Blitz,"Angela Arenivar, Ubaldo Arenivar, Jorge Arenivar"
"Tegan Bukowski, Loressa Clisby, Kevin Macdonald","Hiroaki Aikawa, Cindy Baer, Teagan Bentley"
Nishikant Kamat,"Irrfan Khan, Jimmy Shergill, Vishesh Bansal"
Sagar Ballary,"Vinay Pathak, Rajat Kapoor, Sarika Thakur"
Dervis Zaim,"Ahmet Ugurlu, Tuncel Kurtiz, Aysen Aydemir"
"Akriti Bajpai, Harsh Beniwal","Harsh Beniwal, Mohit Chhikara, Aditya Paul"
Trivikram Srinivas,"Mahesh Babu, Anushka Shetty, Prakash Raj"
Amit Masurkar,"Rajkummar Rao, Pankaj Tripathi, Anjali Patil"
Liz Garbus,"Nina Simone, Lisa Simone Kelly, Roger Nupie"
Abhishek Sharma,"John Abraham, Boman Irani, Diana Penty"
K.V. Anand,"Suriya, Tamannaah Bhatia, Prabhu"
Kundan Shah,"Shah Rukh Khan, Suchitra Krishnamoorthi, Deepak Tijori"
Josh Fox,"Josh Fox, Dick Cheney, Pete Seeger"
Raj Kumar Gupta,"Rajeev Khandelwal, Mukesh Agrohari, Supavitra Babul"
Prabhu Deva,"Joseph Vijay, Asin Thottumkal, Prakash Raj"
Sudha Kongara,"Madhavan, Nassar, Radha Ravi"
Valve,"Benedict Lim, Clinton Loomis, Danil Ishutin"
Robert Eggers,"Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård"
Haneef Adeni,"Unni Mukundan, Yukti Thareja, Kabir Duhan Singh"
John Andreas Andersen,"Sjur Vatne Brean, Erik Hivju, Philip Helgar"
George Miller,"Anya Taylor-Joy, Chris Hemsworth, Tom Burke"
Stanley Kubrick,"Tom Cruise, Nicole Kidman, Todd Field"
Danny Boyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston"
Michael Gracey,"Hugh Jackman, Michelle Williams, Zac Efron"
Tim Burton,"Alec Baldwin, Geena Davis, Michael Keaton"
James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver"
Steven Spielberg,"Michelle Williams, Gabriel LaBelle, Paul Dano"
Steven Soderbergh,"Julia Roberts, Albert Finney, David Brisbin"
David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint"
Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm"
Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm"
John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds"
Barry Levinson,"Robert De Niro, Kevin Bacon, Brad Pitt"
Tom Hooper,"Hugh Jackman, Russell Crowe, Anne Hathaway"
Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin"
Marc Forster,"Tom Hanks, Mariana Treviño, Rachel Keller"
Guy Ritchie,"Jake Gyllenhaal, Dar Salim, Sean Sagar"
Steven Spielberg,"Harrison Ford, Kate Capshaw, Ke Huy Quan"
Kinji Fukasaku,"Tatsuya Fujiwara, Aki Maeda, Tarô Yamamoto"
J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland"
Taylor Hackford,"Keanu Reeves, Al Pacino, Charlize Theron"
Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie"
Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth"
Tim Burton,"Michael Keaton, Jack Nicholson, Kim Basinger"
James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston"
Neil Jordan,"Brad Pitt, Tom Cruise, Antonio Banderas"
Paul Verhoeven,"Arnold Schwarzenegger, Sharon Stone, Michael Ironside"
Michael Haneke,"Isabelle Huppert, Annie Girardot, Benoît Magimel"
Leigh Whannell,"Logan Marshall-Green, Melanie Vallejo, Steve Danielsen"
Quentin Tarantino,"Pam Grier, Samuel L. Jackson, Robert Forster"
John Landis,"Eddie Murphy, Dan Aykroyd, Ralph Bellamy"
Robert Zemeckis,"Jodie Foster, Matthew McConaughey, Tom Skerritt"
Ryan Coogler,"Michael B. Jordan, Melonie Diaz, Octavia Spencer"
Nikhil Nagesh Bhat,"Lakshya, Raghav Juyal, Tanya Maniktala"
Cord Jefferson,"Jeffrey Wright, Tracee Ellis Ross, John Ortiz"
Joel Schumacher,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson"
James Hawes,"Anthony Hopkins, Lena Olin, Johnny Flynn"
Martin Scorsese,"Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis"
Sam Raimi,"Tobey Maguire, Kirsten Dunst, Alfred Molina"
Kathryn Bigelow,"Jeremy Renner, Anthony Mackie, Brian Geraghty"
Peter Berg,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch"
Walter Hill,"Michael Beck, James Remar, Dorsey Wright"
Alex Proyas,"Brandon Lee, Michael Wincott, Rochelle Davis"
Todd Field,"Kate Winslet, Jennifer Connelly, Patrick Wilson"
"Steve Box, Nick Park","Peter Sallis, Helena Bonham Carter, Ralph Fiennes"
Edward Zwick,"Brad Pitt, Anthony Hopkins, Aidan Quinn"
Yorgos Lanthimos,"Olivia Colman, Emma Stone, Rachel Weisz"
Ruben Fleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson"
Craig Gillespie,"Margot Robbie, Sebastian Stan, Allison Janney"
"Chris Wedge, Carlos Saldanha","Denis Leary, John Leguizamo, Ray Romano"
Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams"
James Cameron,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn"
David Lynch,"Chris Isaak, Kiefer Sutherland, C.H. Evans"
John Landis,"David Naughton, Jenny Agutter, Joe Belcher"
Danny Boyle,"James Franco, Amber Tamblyn, Kate Mara"
Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith"
John McTiernan,"Sean Connery, Alec Baldwin, Scott Glenn"
Jeremiah S. Chechik,"Chevy Chase, Beverly D'Angelo, Juliette Lewis"
Martin Scorsese,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale"
Joachim Rønning,"Daisy Ridley, Tilda Cobham-Hervey, Stephen Graham"
Martin Scorsese,"Willem Dafoe, Harvey Keitel, Barbara Hershey"
Peter Weir,"Russell Crowe, Paul Bettany, Billy Boyd"
Steven Spielberg,"Eric Bana, Daniel Craig, Marie-Josée Croze"
Stanley Kramer,"Spencer Tracy, Milton Berle, Ethel Merman"
Stanley Kubrick,"James Mason, Shelley Winters, Sue Lyon"
Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands"
Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell"
Tom Tykwer,"Ben Whishaw, Dustin Hoffman, Alan Rickman"
Kiyoshi Kurosawa,"Masato Hagiwara, Kôji Yakusho, Tsuyoshi Ujiki"
John Patrick Shanley,"Meryl Streep, Philip Seymour Hoffman, Amy Adams"
Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga"
Lynne Ramsay,"Tilda Swinton, John C. Reilly, Ezra Miller"
Spike Lee,"John David Washington, Adam Driver, Laura Harrier"
Terry Gilliam,"Johnny Depp, Benicio Del Toro, Tobey Maguire"
Trey Edward Shults,"Taylor Russell, Kelvin Harrison Jr., Alexa Demie"
Jane Campion,"Holly Hunter, Harvey Keitel, Sam Neill"
Stephen Daldry,"Meryl Streep, Nicole Kidman, Julianne Moore"
John Crowley,"Saoirse Ronan, Emory Cohen, Domhnall Gleeson"
Adam Rehmeier,"Kyle Gallner, Yancey Fuqua, Jennifer Kincer"
Robin Hardy,"Edward Woodward, Christopher Lee, Diane Cilento"
Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Mary Steenburgen"
Peter Greenaway,"Richard Bohringer, Michael Gambon, Helen Mirren"
Anders Thomas Jensen,"Mads Mikkelsen, Nikolaj Lie Kaas, Andrea Heick Gadeberg"
Martin Scorsese,"Asa Butterfield, Chloë Grace Moretz, Christopher Lee"
Jean-Jacques Annaud,"Jude Law, Ed Harris, Joseph Fiennes"
George Cukor,"Judy Holliday, William Holden, Broderick Crawford"
Alejandro G. Iñárritu,"Brad Pitt, Cate Blanchett, Gael García Bernal"
Alexander Payne,"Paul Giamatti, Thomas Haden Church, Virginia Madsen"
Ted Demme,"Johnny Depp, Penélope Cruz, Franka Potente"
Shane Black,"Robert Downey Jr., Val Kilmer, Michelle Monaghan"
"Charles Crichton, John Cleese","John Cleese, Jamie Lee Curtis, Kevin Kline"
Neil Burger,"Edward Norton, Jessica Biel, Paul Giamatti"
Christopher Guest,"Fred Willard, Eugene Levy, Catherine O'Hara"
Lin-Manuel Miranda,"Andrew Garfield, Alexandra Shipp, Robin de Jesus"
Alan J. Pakula,"Meryl Streep, Kevin Kline, Peter MacNicol"
Stephan Elliott,"Hugo Weaving, Guy Pearce, Terence Stamp"
Andrew Dominik,"Brad Pitt, Casey Affleck, Sam Shepard"
Michael Haneke,"Susanne Lothar, Ulrich Mühe, Arno Frisch"
"Joel Coen, Ethan Coen","John Getz, Frances McDormand, Dan Hedaya"
Uli Edel,"Natja Brunckhorst, Eberhard Auriga, Peggy Bussieck"
Sam Raimi,"Bill Paxton, Billy Bob Thornton, Bridget Fonda"
"Robert Rodriguez, Eli Roth, Quentin Tarantino","Kurt Russell, Rose McGowan, Danny Trejo"
Peter Jackson,"Timothy Balme, Diana Peñalver, Elizabeth Moody"
Robert Altman,"Tim Robbins, Greta Scacchi, Fred Ward"
Wong Kar-Wai,"Leon Lai, Michelle Reis, Takeshi Kaneshiro"
Kim Jee-woon,"Lee Byung-hun, Shin Min-a, Kim Yeong-cheol"
Eli Craig,"Tyler Labine, Alan Tudyk, Katrina Bowden"
Clint Eastwood,"Paul Walter Hauser, Sam Rockwell, Brandon Stanley"
Ang Lee,"Tony Leung Chiu-wai, Tang Wei, Joan Chen"
Phil Alden Robinson,"Kevin Costner, James Earl Jones, Ray Liotta"
Ava DuVernay,"David Oyelowo, Carmen Ejogo, Oprah Winfrey"
Charlie Kaufman,"Philip Seymour Hoffman, Samantha Morton, Michelle Williams"
David Anspaugh,"Sean Astin, Jon Favreau, Ned Beatty"
Richard Donner,"Gregory Peck, Lee Remick, Harvey Stephens"
Kevin Macdonald,"Tahar Rahim, Nouhe Hamady Bari, Saadna Hamoud"
"Wolfgang Reitherman, David Hand","Brian Bedford, Phil Harris, Roger Miller"
Stephen Frears,"Glenn Close, John Malkovich, Michelle Pfeiffer"
"Nick Bruno, Troy Quane","Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang"
Joel Coen,"Billy Bob Thornton, Frances McDormand, Michael Badalucco"
Tim McCanlies,"Haley Joel Osment, Michael Caine, Robert Duvall"
Bruce Robinson,"Richard E. Grant, Paul McGann, Richard Griffiths"
Ryûsuke Hamaguchi,"Hidetoshi Nishijima, Tôko Miura, Reika Kirishima"
Tom Ford,"Colin Firth, Julianne Moore, Matthew Goode"
Gavin O'Connor,"Kurt Russell, Patricia Clarkson, Nathan West"
Jérémie Périn,"Léa Drucker, Mathieu Amalric, Daniel Njo Lobé"
Reinaldo Marcus Green,"Will Smith, Aunjanue Ellis-Taylor, Jon Bernthal"
Gary Ross,"Tobey Maguire, Jeff Daniels, Joan Allen"
Guillaume Canet,"François Cluzet, Marie-Josée Croze, André Dussollier"
Marc Forster,"Will Ferrell, Emma Thompson, Dustin Hoffman"
Greg Berlanti,"Nick Robinson, Jennifer Garner, Josh Duhamel"
"Richard Glatzer, Wash Westmoreland","Julianne Moore, Alec Baldwin, Kristen Stewart"
Brian Helgeland,"Chadwick Boseman, T.R. Knight, Harrison Ford"
Brian Percival,"Sophie Nélisse, Geoffrey Rush, Emily Watson"
Alan Parker,"Brad Davis, Irene Miracle, Bo Hopkins"
Terry Gilliam,"Jeff Bridges, Robin Williams, Adam Bryant"
Kimberly Peirce,"Hilary Swank, Chloë Sevigny, Peter Sarsgaard"
Chantal Akerman,"Delphine Seyrig, Jan Decorte, Henri Storck"
Michael Showalter,"Kumail Nanjiani, Zoe Kazan, Holly Hunter"
Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney"
Philip Barantini,"Stephen Graham, Vinette Robinson, Alice Feetham"
Fred M. Wilcox,"Walter Pidgeon, Anne Francis, Leslie Nielsen"
Milos Forman,"John Savage, Treat Williams, Beverly D'Angelo"
Shane Meadows,"Paddy Considine, Gary Stretch, Toby Kebbell"
George Pal,"Rod Taylor, Alan Young, Yvette Mimieux"
Robert Altman,"Elliott Gould, Nina van Pallandt, Sterling Hayden"
Alfred Hitchcock,"Ingrid Bergman, Gregory Peck, Michael Chekhov"
Clint Eastwood,"Kevin Costner, Clint Eastwood, Laura Dern"
Park Chan-wook,"Nam-mi Kang, Jeong-nam Choi, Hye-Sook Go"
"Norman Ferguson, T. Hee, Wilfred Jackson","Dickie Jones, Christian Rub, Mel Blanc"
Richard Attenborough,"Robert Downey Jr., Geraldine Chaplin, Paul Rhys"
Justin Baldoni,"Fin Argus, Neve Campbell, Sabrina Carpenter"
Alan Parker,"Kevin Spacey, Kate Winslet, Laura Linney"
"Albert Hughes, Allen Hughes","Tyrin Turner, Larenz Tate, June Kyoto Lu"
Ken Loach,"Cillian Murphy, Pádraic Delaney, Liam Cunningham"
George Tillman Jr.,"Amandla Stenberg, Regina Hall, Russell Hornsby"
Roman Polanski,"Roman Polanski, Isabelle Adjani, Melvyn Douglas"
John Lee Hancock,"Emma Thompson, Tom Hanks, Annie Rose Buckley"
Makoto Shinkai,"Kotaro Daigo, Nana Mori, Tsubasa Honda"
Jim Jarmusch,"Johnny Depp, Gary Farmer, Crispin Glover"
Michal Gazda,"Leszek Lichota, Maria Kowalska, Ignacy Liss"
Steve McQueen,"Michael Fassbender, Liam Cunningham, Stuart Graham"
Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky"
Luc Besson,"Jean-Marc Barr, Jean Reno, Rosanna Arquette"
Howard Hawks,"John Wayne, Robert Mitchum, James Caan"
Vadim Perelman,"Jennifer Connelly, Ben Kingsley, Ron Eldard"
Martin Brest,"Robert De Niro, Charles Grodin, Yaphet Kotto"
"Marc Caro, Jean-Pierre Jeunet","Ron Perlman, Daniel Emilfork, Judith Vittet"
Pedro Almodóvar,"Antonio Banderas, Asier Etxeandia, Leonardo Sbaraglia"
Jim Jarmusch,"Forest Whitaker, Henry Silva, John Tormey"
Bob Gale,"James Marsden, Gary Oldman, Kurt Russell"
Arthur Penn,"Dustin Hoffman, Faye Dunaway, Chief Dan George"
Don Bluth,"Elizabeth Hartman, Derek Jacobi, Dom DeLuise"
Park Hoon-jung,"Lee Jung-jae, Choi Min-sik, Hwang Jung-min"
Nikolaj Arcel,"Alicia Vikander, Mads Mikkelsen, Mikkel Boe Følsgaard"
Mel Brooks,"Zero Mostel, Gene Wilder, Dick Shawn"
Robert Redford,"Ralph Fiennes, John Turturro, Rob Morrow"
John Madden,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw"
Rodrigo Sorogoyen,"Marina Foïs, Denis Ménochet, Luis Zahera"
Park Chan-wook,"Song Kang-ho, Shin Ha-kyun, Bae Doona"
Gus Van Sant,"Sean Penn, Josh Brolin, Emile Hirsch"
Vincente Minnelli,"Judy Garland, Margaret O'Brien, Mary Astor"
Lulu Wang,"Shuzhen Zhao, Awkwafina, X Mayo"
Jason Reitman,"Aaron Eckhart, Cameron Bright, Maria Bello"
"Marc Caro, Jean-Pierre Jeunet","Marie-Laure Dougnac, Dominique Pinon, Pascal Benezech"
Jackie Chan,"Jackie Chan, Maggie Cheung, Brigitte Lin"
"Richard Fleischer, Kinji Fukasaku, Toshio Masuda","Martin Balsam, Sô Yamamura, Jason Robards"
John Mackenzie,"Bob Hoskins, Helen Mirren, Paul Freeman"
Makoto Shinkai,"Kenji Mizuhashi, Yoshimi Kondou, Satomi Hanamura"
Priyadarshan,"Akshay Kumar, Vidya Balan, Shiney Ahuja"
Hal Ashby,"Jack Nicholson, Randy Quaid, Otis Young"
Richard Lester,"John Lennon, Paul McCartney, George Harrison"
Shunji Iwai,"Hayato Ichihara, Shûgo Oshinari, Ayumi Ito"
Pedro Almodóvar,"Carmen Maura, Antonio Banderas, Julieta Serrano"
Denzel Washington,"Denzel Washington, Forest Whitaker, Kimberly Elise"
Takeshi Koike,"Takuya Kimura, Yû Aoi, Tadanobu Asano"
Amar Kaushik,"Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi"
J. Lee Thompson,"David Niven, Gregory Peck, Anthony Quinn"
Lukas Moodysson,"Alexandra Dahlström, Rebecka Liljeberg, Erica Carlson"
Morten Tyldum,"Aksel Hennie, Synnøve Macody Lund, Nikolaj Coster-Waldau"
Olivier Dahan,"Marion Cotillard, Sylvie Testud, Pascal Greggory"
Alejandro Jodorowsky,"Axel Jodorowsky, Blanca Guerra, Guy Stockwell"
Yimou Zhang,"Ziyi Zhang, Takeshi Kaneshiro, Andy Lau"
Kenneth Lonergan,"Laura Linney, Matthew Broderick, Amy Ryan"
Kenneth Branagh,"Kenneth Branagh, Derek Jacobi, Simon Shepherd"
Takashi Miike,"Kôji Yakusho, Takayuki Yamada, Yûsuke Iseya"
Robert Aldrich,"James Stewart, Richard Attenborough, Peter Finch"
Dario Argento,"David Hemmings, Daria Nicolodi, Gabriele Lavia"
"John Lounsbery, Wolfgang Reitherman, Ben Sharpsteen","Sebastian Cabot, Junius Matthews, Barbara Luddy"
Stephan Lacant,"Hanno Koffler, Max Riemelt, Attila Borlan"
Terry Jones,"John Cleese, Terry Gilliam, Eric Idle"
"Tomm Moore, Nora Twomey","Evan McGuire, Brendan Gleeson, Mick Lally"
Shûsuke Kaneko,"Tatsuya Fujiwara, Ken'ichi Matsuyama, Asaka Seto"
Yimou Zhang,"Christian Bale, Ni Ni, Xinyi Zhang"
Pawel Pawlikowski,"Joanna Kulig, Tomasz Kot, Borys Szyc"
Yann Samuell,"Guillaume Canet, Marion Cotillard, Thibault Verhaeghe"
Robert Wise,"Steve McQueen, Richard Attenborough, Richard Crenna"
Gustav Möller,"Jakob Cedergren, Jessica Dinnage, Omar Shargawi"
Michelangelo Antonioni,"Jack Nicholson, Maria Schneider, Jenny Runacre"
Joseph Vilsmaier,"Dominique Horwitz, Thomas Kretschmann, Jochen Nickel"
George Cukor,"Judy Garland, James Mason, Jack Carson"
"Katsuhiro Ôtomo, Kôji Morimoto, Tensai Okamura","Tsutomu Isobe, Shôzô Îzuka, Kôichi Yamadera"
Michael Dudok de Wit,"Emmanuel Garijo, Tom Hudson, Baptiste Goy"
Tom Hooper,"Colm Meaney, Henry Goodman, David Roper"
"Alberto Cavalcanti, Charles Crichton, Basil Dearden","Mervyn Johns, Michael Redgrave, Roland Culver"
François Truffaut,"Jean-Pierre Léaud, Claude Jade, Delphine Seyrig"
Rouben Mamoulian,"Tyrone Power, Linda Darnell, Basil Rathbone"
William Wyler,"Audrey Hepburn, Peter O'Toole, Eli Wallach"
Mike Leigh,"Timothy Spall, Lesley Manville, Ruth Sheen"
Martin Ritt,"Richard Burton, Oskar Werner, Claire Bloom"
Alan Clarke,"Ray Winstone, Mick Ford, Julian Firth"
William Wyler,"Terence Stamp, Samantha Eggar, Mona Washbourne"
Orson Welles,"Rita Hayworth, Orson Welles, Everett Sloane"
Michael Apted,"Sissy Spacek, Tommy Lee Jones, Levon Helm"
Albert Lewin,"George Sanders, Hurd Hatfield, Donna Reed"
Ralph Nelson,"Sidney Poitier, Lilia Skala, Lisa Mann"
Bart Layton,"Adam O'Brian, Nicholas Barclay, Carey Gibson"
Eugenio Derbez,"Eugenio Derbez, Karla Souza, Jessica Lindsey"
Wilson Yip,"Donnie Yen, Xiaoming Huang, Sammo Kam-Bo Hung"
Henry Alex Rubin,"Jason Bateman, Jonah Bobo, Haley Ramm"
Paddy Considine,"Peter Mullan, Olivia Colman, Eddie Marsan"
Taika Waititi,"James Rolleston, Te Aho Eketone-Whitu, Taika Waititi"
"Ellen Hovde, Albert Maysles, David Maysles","Edith Bouvier Beale, Edith 'Little Edie' Bouvier Beale, Brooks Hyers"
Robert Aldrich,"Ralph Meeker, Albert Dekker, Paul Stewart"
"Rupert Julian, Lon Chaney, Ernst Laemmle","Lon Chaney, Mary Philbin, Norman Kerry"
"William A. Wellman, Harry d'Abbadie d'Arrast","Clara Bow, Charles 'Buddy' Rogers, Richard Arlen"
Alice Rohrwacher,"Adriano Tardiolo, Agnese Graziani, Alba Rohrwacher"
"Chia-Liang Liu, Jackie Chan","Jackie Chan, Ho-Sung Pak, Lung Ti"
Niki Caro,"Keisha Castle-Hughes, Rawiri Paratene, Vicky Haughton"
Toshiyuki Kubooka,"Hiroaki Iwanaga, Carrie Keranen, Takahiro Sakurai"
Robert Aldrich,"Bette Davis, Olivia de Havilland, Joseph Cotten"
Tom DiCillo,"Steve Buscemi, Catherine Keener, Dermot Mulroney"
Paul Schrader,"Richard Pryor, Harvey Keitel, Yaphet Kotto"
Asghar Farhadi,"Amir Jadidi, Mohsen Tanabandeh, Sahar Goldoost"
William Wyler,"Merle Oberon, Laurence Olivier, David Niven"
Louis Malle,"Lea Massari, Benoît Ferreux, Daniel Gélin"
Mira Nair,"Kal Penn, Irrfan Khan, Tabu"
"David Farrier, Dylan Reeve","David Farrier, Dylan Reeve, David Starr"
Cary Joji Fukunaga,"Paulina Gaitan, Marco Antonio Aguirre, Leonardo Alonso"
Jim Jarmusch,"Masatoshi Nagase, Yûki Kudô, Screamin' Jay Hawkins"
Joseph L. Mankiewicz,"Elizabeth Taylor, Katharine Hepburn, Montgomery Clift"
Delmer Daves,"Humphrey Bogart, Lauren Bacall, Bruce Bennett"
Bob Fosse,"Dustin Hoffman, Valerie Perrine, Jan Miner"
Amit Rai,"Pankaj Tripathi, Akshay Kumar, Yami Gautam"
Raoul Walsh,"Ida Lupino, Humphrey Bogart, Alan Curtis"
Claude Lelouch,"Anouk Aimée, Jean-Louis Trintignant, Pierre Barouh"
Xavier Legrand,"Léa Drucker, Denis Ménochet, Thomas Gioria"
Sarah Polley,"Julie Christie, Michael Murphy, Gordon Pinsent"
István Szabó,"Ralph Fiennes, Rosemary Harris, Rachel Weisz"
Ildikó Enyedi,"Alexandra Borbély, Géza Morcsányi, Réka Tenki"
Ingmar Bergman,"Harriet Andersson, Lars Ekborg, Dagmar Ebbesen"
Atom Egoyan,"Christopher Plummer, Kim Roberts, Amanda Smith"
Edward Dmytryk,"Dick Powell, Claire Trevor, Anne Shirley"
Paolo Sorrentino,"Toni Servillo, Olivia Magnani, Adriano Giannini"
Nuri Bilge Ceylan,"Muzaffer Özdemir, Mehmet Emin Toprak, Zuhal Gencer"
Anders Thomas Jensen,"Søren Pilmark, Ulrich Thomsen, Mads Mikkelsen"
Lynne Ramsay,"Tommy Flanagan, Mandy Matthews, William Eadie"
Michael Moore,"Michael Moore, George W. Bush, Ben Affleck"
Jules Dassin,"Barry Fitzgerald, Howard Duff, Dorothy Hart"
Jean-Paul Rappeneau,"Gérard Depardieu, Anne Brochet, Vincent Perez"
Don Siegel,"Walter Matthau, Joe Don Baker, Felicia Farr"
