Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description
1544,1544. Lost Highway,1997,7.6,134,159000,R,53,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray."
1545,1545. Once Upon a Time... in Hollywood,2019,7.6,161,888000,R,84,"As Hollywood's Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meeting several colorful characters along the way."
1546,1546. The Count of Monte-Cristo,2024,7.6,178,26000,N/A,75,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the Count of Monte Cristo to exact revenge on the men who betrayed him."
1547,1547. Inside Out 2,2024,7.6,96,200000,PG,73,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced."
1548,1548. The Fifth Element,1997,7.6,126,521000,PG-13,52,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
1549,1549. Kneecap,2024,7.6,105,13000,R,76,"When fate brings Belfast teacher JJ into the orbit of self-confessed ""low life scum"" Naoise and Liam Óg, the needle drops on a hip hop act like no other. Rapping in their native Irish, they lead a movement to save their mother tongue."
1550,1550. Transformers One,2024,7.6,104,43000,PG,64,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever."
1551,1551. Love Actually,2003,7.6,135,555000,R,55,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
1552,1552. American Psycho,2000,7.6,102,762000,R,64,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
1553,1553. The Iron Claw,2023,7.6,132,99000,R,73,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s."
1554,1554. Killers of the Flower Moon,2023,7.6,206,273000,R,89,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
1555,1555. John Wick: Chapter 4,2023,7.6,169,366000,R,78,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
1556,1556. Train to Busan,2016,7.6,118,277000,Not Rated,73,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan."
1557,1557. Moana,2016,7.6,107,405000,PG,81,"In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana's island, she answers the Ocean's call to seek out Maui to set things right."
1558,1558. Dazed and Confused,1993,7.6,103,206000,R,82,The adventures of high school and junior high students on the last day of school in May 1976.
1559,1559. The Whale,2022,7.6,117,237000,R,60,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter."
1560,1560. Watchmen,2009,7.6,162,594000,R,56,"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history."
1561,1561. Pushpa: The Rise - Part 1,2021,7.6,179,95000,N/A,N/A,"A labourer rises through the ranks of a red sandalwood smuggling syndicate, making some powerful enemies in the process."
1562,1562. Anatomy of a Fall,2023,7.6,151,166000,R,86,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.
1563,1563. Hell or High Water,2016,7.6,102,262000,R,88,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch."
1564,1564. Aftersun,2022,7.6,102,109000,R,95,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't.
1565,1565. All of Us Strangers,2023,7.6,105,67000,R,90,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.
1566,1566. 300,2006,7.6,117,883000,R,52,"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army."
1567,1567. Inside Man,2006,7.6,129,408000,R,76,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
1568,1568. Harry Potter and the Half-Blood Prince,2009,7.6,153,619000,PG,78,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past."
1569,1569. The Reader,2008,7.6,124,266000,R,58,"Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial."
1570,1570. Romeo and Juliet,1968,7.6,138,36000,PG,69,"When two young members of feuding families meet, forbidden love ensues."
1571,1571. Only the Brave,2017,7.6,134,81000,PG-13,72,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire."
1572,1572. Kick-Ass,2010,7.6,117,605000,R,66,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
1573,1573. Fury,2014,7.6,134,569000,R,64,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945."
1574,1574. Sound of Freedom,2023,7.6,131,127000,PG-13,36,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.
1575,1575. Moulin Rouge!,2001,7.6,127,305000,PG-13,66,A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.
1576,1576. Superbad,2007,7.6,113,655000,R,76,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
1577,1577. RoboCop,1987,7.6,102,292000,R,70,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories."
1578,1578. Despicable Me,2010,7.6,95,603000,PG,72,"Gru, a criminal mastermind, adopts three orphans as pawns to carry out the biggest heist in history. His life takes an unexpected turn when the little girls see the evildoer as their potential father."
1579,1579. Deadpool 2,2018,7.6,119,700000,R,66,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable."
1580,1580. The Florida Project,2017,7.6,111,135000,R,92,A single mother and the manager of a roadside motel do their utmost to maintain the innocence of a six-year-old girl's life.
1581,1581. Office Space,1999,7.6,89,296000,R,68,Three company workers who hate their jobs decide to rebel against their greedy boss.
1582,1582. Stardust,2007,7.6,127,290000,PG-13,66,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
1583,1583. Gifted,2017,7.6,101,146000,PG-13,60,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother."
1584,1584. Star Wars: Episode III - Revenge of the Sith,2005,7.6,140,869000,PG-13,68,"With the Clone Wars coming to it's end, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot for galactic domination."
1585,1585. Moneyball,2011,7.6,133,480000,PG-13,87,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
1586,1586. The Godfather Part III,1990,7.6,162,435000,R,60,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire."
1587,1587. Close Encounters of the Third Kind,1977,7.6,138,223000,PG,90,"Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches."
1588,1588. The Others,2001,7.6,104,405000,PG-13,74,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted."
1589,1589. Saw,2004,7.6,103,484000,R,46,"Two men awaken to find themselves on the opposite sides of a dead body, each with specific instructions to kill the other or face consequences. These two are the latest victims of the Jigsaw Killer."
1590,1590. The Boondock Saints,1999,7.6,108,255000,R,44,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
1591,1591. The Blind Side,2009,7.6,129,370000,PG-13,53,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
1592,1592. The Peanut Butter Falcon,2019,7.6,97,112000,PG-13,70,"Zak, a man with Down syndrome, runs away from a residential nursing home to pursue his dream of becoming a wrestler. Later, he meets with an outlaw who becomes his friend and coach."
1593,1593. Minority Report,2002,7.6,145,597000,PG-13,80,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder."
1594,1594. The Last of the Mohicans,1992,7.6,112,195000,R,76,Three Mohican trappers agree to protect the daughters of a British Colonel in the midst of the French and Indian War.
1595,1595. Dark City,1998,7.6,100,218000,R,66,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from."
1596,1596. Lethal Weapon,1987,7.6,109,284000,R,68,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.
1597,1597. Kung Fu Panda,2008,7.6,92,543000,PG,74,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way."
1598,1598. A Star Is Born,2018,7.6,136,432000,R,88,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
1599,1599. The Fly,1986,7.6,96,212000,R,81,A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.
1600,1600. Guardians of the Galaxy Vol. 2,2017,7.6,136,784000,PG-13,67,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego."
1601,1601. Deliverance,1972,7.6,109,123000,R,80,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
1602,1602. End of Watch,2012,7.6,109,277000,R,68,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves."
1603,1603. What We Do in the Shadows,2014,7.6,86,206000,R,76,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts."
1604,1604. Sherlock Holmes,2009,7.6,128,685000,PG-13,57,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
1605,1605. The Thin Red Line,1998,7.6,170,204000,R,78,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War."
1606,1606. West Side Story,1961,7.6,153,124000,Approved,86,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy."
1607,1607. True Grit,2010,7.6,110,364000,PG-13,80,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
1608,1608. The Butterfly Effect,2004,7.6,113,535000,R,30,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
1609,1609. The Skin I Live In,2011,7.6,120,172000,R,70,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession."
1610,1610. Midnight in Paris,2011,7.6,94,458000,PG-13,81,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
1611,1611. Mysterious Skin,2004,7.6,105,79000,Unrated,74,"Two pre-adolescent boys both experienced a strange event and later it affects their lives in different ways. One becomes a reckless, sexually adventurous prostitute, while the other retreats into a reclusive fantasy of alien abduction."
1612,1612. After Hours,1985,7.6,97,86000,R,89,"Ordinary word processor Paul Hackett experiences the worst night of his life after he agrees to visit Marcy, a Soho resident that he met that evening at a coffee shop."
1613,1613. The Machinist,2004,7.6,101,425000,R,61,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
1614,1614. The Naked Gun: From the Files of Police Squad!,1988,7.6,85,192000,PG-13,76,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.
1615,1615. Toy Story 4,2019,7.6,100,293000,G,84,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
1616,1616. The Road Warrior,1981,7.6,96,206000,R,77,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community get rid of a horde of bandits."
1617,1617. My Cousin Vinny,1992,7.6,120,147000,R,68,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
1618,1618. Eastern Promises,2007,7.6,100,268000,R,83,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.
1619,1619. Traffic,2000,7.6,147,223000,R,86,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
1620,1620. Thelma & Louise,1991,7.6,130,180000,R,89,"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two women escape for the crimes they committed."
1621,1621. Falling Down,1993,7.6,113,214000,R,56,An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.
1622,1622. Breakfast at Tiffany's,1961,7.6,115,197000,Approved,77,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way."
1623,1623. Dark Waters,2019,7.6,126,113000,PG-13,73,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
1624,1624. Die Hard with a Vengeance,1995,7.6,128,417000,R,58,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building."
1625,1625. The Little Mermaid,1989,7.6,83,299000,G,88,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.
1626,1626. Searching,2018,7.6,102,185000,PG-13,71,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop."
1627,1627. The Night of the Iguana,1964,7.6,125,13000,Approved,N/A,An ostracized Episcopal clergyman leads a busload of middle-aged Baptist women on a tour of the Mexican coast and comes to terms with the failure haunting his life.
1628,1628. Snow White and the Seven Dwarfs,1937,7.6,83,222000,Approved,96,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
1629,1629. 3:10 to Yuma,2007,7.6,122,340000,R,76,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
1630,1630. The Art of Racing in the Rain,2019,7.6,109,41000,PG,43,"Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life."
1631,1631. Bridge of Spies,2015,7.6,142,334000,PG-13,81,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
1632,1632. Match Point,2005,7.6,124,232000,R,72,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law."
1633,1633. Rise of the Planet of the Apes,2011,7.6,105,589000,PG-13,68,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.
1634,1634. The Fault in Our Stars,2014,7.6,126,411000,PG-13,69,"Hazel and Gus are teenagers who meet at a cancer support group and fall in love. They both share the same acerbic wit and a love of books, especially ""An Imperial Affliction"", so they embark on a journey to visit an author in Amsterdam."
1635,1635. The Royal Tenenbaums,2001,7.6,110,319000,R,76,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.
1636,1636. Where Eagles Dare,1968,7.6,158,65000,M,63,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on."
1637,1637. The Jungle Book,1967,7.6,78,204000,Approved,65,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.
1638,1638. Robot Dreams,2023,7.6,103,19000,PG-13,87,The adventures and misfortunes of Dog and Robot in New York City during the 1980s.
1639,1639. Dawn of the Planet of the Apes,2014,7.6,130,496000,PG-13,79,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.
1640,1640. The Birds,1963,7.6,119,211000,PG-13,90,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.
1641,"1641. Planes, Trains & Automobiles",1987,7.6,93,169000,R,72,"A Chicago advertising man must struggle to travel home from New York for Thanksgiving, with a lovable oaf of a shower-curtain-ring salesman as his only companion."
1642,1642. Gone Baby Gone,2007,7.6,114,300000,R,72,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
1643,1643. Kelly's Heroes,1970,7.6,144,56000,GP,50,A group of U.S. soldiers sneaks across enemy lines in WWII France to get their hands on a secret stash of Nazi treasure.
1644,1644. Creed,2015,7.6,133,318000,PG-13,82,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
1645,1645. The Mitchells vs. the Machines,2021,7.6,114,133000,PG,81,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope."
1646,1646. Suzume,2022,7.6,122,50000,PG,77,A modern action adventure road story where a 17-year-old girl named Suzume helps a mysterious young man close doors from the other side that are releasing disasters all over in Japan.
1647,1647. Lord of War,2005,7.6,122,345000,R,62,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.
1648,1648. Rebel Without a Cause,1955,7.6,111,100000,PG-13,89,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies."
1649,1649. I Am Sam,2001,7.6,132,158000,PG-13,28,An intellectually disabled man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.
1650,1650. The Bridges of Madison County,1995,7.6,135,92000,PG-13,69,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
1651,1651. Jeremiah Johnson,1972,7.6,108,36000,GP,75,A mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by the Crow tribe and proves to be a match for their warriors in single combat on the early frontier.
1652,1652. Ponyo,2008,7.6,101,172000,G,86,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him."
1653,1653. The Raid: Redemption,2011,7.6,101,222000,R,73,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.
1654,1654. Philomena,2013,7.6,98,105000,PG-13,77,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent."
1655,1655. 1900,1976,7.6,317,28000,Unrated,70,The epic tale of a class struggle in twentieth-century Italy as seen through the eyes of two childhood friends on opposing sides.
1656,1656. Seven Pounds,2008,7.6,123,319000,PG-13,36,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
1657,1657. Guillermo del Toro's Pinocchio,2022,7.6,117,119000,PG,79,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child."
1658,1658. Belle de Jour,1967,7.6,100,51000,Approved,N/A,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
1659,1659. The Two Popes,2019,7.6,125,136000,PG-13,75,"Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church."
1660,1660. The Hurricane,1999,7.6,146,104000,R,74,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence."
1661,1661. Escape from Alcatraz,1979,7.6,112,152000,PG,76,"Alcatraz is the most secure prison of its time. It is believed that no one can ever escape from it, until three daring men make a possibly successful attempt at escaping from one of the most infamous prisons in the world."
1662,1662. Gettysburg,1993,7.6,254,32000,PG,N/A,"In 1863, the Northern and Southern forces fight at Gettysburg in the decisive battle of the American Civil War."
1663,1663. Run Lola Run,1998,7.6,80,212000,R,79,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
1664,1664. Walkabout,1971,7.6,100,28000,GP,85,"Two city-bred siblings are stranded in the Australian Outback, where they learn to survive with the aid of an Aboriginal boy on his ""walkabout"": a ritual separation from his tribe."
1665,1665. Just Mercy,2019,7.6,137,79000,PG-13,68,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.
1666,1666. Watership Down,1978,7.6,92,41000,PG,64,"Hoping to escape destruction by human developers and save their community, a colony of rabbits, led by Hazel and Fiver, seek out a safe place to set up a new warren."
1667,1667. Enter the Dragon,1973,7.6,102,116000,R,83,A Shaolin martial artist travels to an island fortress to spy on an opium lord - who is also a former monk from his temple - under the guise of attending a fighting tournament.
1668,1668. The Last King of Scotland,2006,7.6,123,200000,R,74,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.
1669,1669. Rushmore,1998,7.6,93,202000,R,87,"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta."
1670,1670. The Body,2012,7.6,112,75000,N/A,N/A,A detective searches for the body of a femme fatale which has gone missing from a morgue.
1671,1671. Hotel Mumbai,2018,7.6,123,75000,R,62,The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.
1672,1672. God's Own Country,2017,7.6,104,38000,Not Rated,85,"Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path."
1673,1673. Barton Fink,1991,7.6,116,131000,R,69,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.
1674,1674. Giant,1956,7.6,201,43000,G,84,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.
1675,1675. Sabrina,1954,7.6,113,72000,Approved,72,"After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved with her."
1676,1676. The Commitments,1991,7.6,118,40000,R,73,"Jimmy Rabbitte, an unemployed Dublin boy, decides to put together a soul band made up entirely of the Irish working class."
1677,1677. Star Trek: First Contact,1996,7.6,111,134000,PG-13,70,The Borg travel back in time intent on preventing Earth's first contact with an alien species. Captain Picard and his crew pursue them to ensure that Zefram Cochrane makes his maiden flight reaching warp speed.
1678,1678. The Secret World of Arrietty,2010,7.6,94,109000,G,80,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter Arrietty is discovered."
1679,1679. Vampire Hunter D: Bloodlust,2000,7.6,103,38000,R,62,"A legendary dhampir competes with a motley family of bounty hunters to return a young woman, who has been seemingly abducted by a vampire, to her family."
1680,1680. 21 Grams,2003,7.6,124,249000,R,70,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
1681,1681. A Little Princess,1995,7.6,97,38000,G,83,"Sara is sent to a strict boarding school after her father enlists in WWI. When he is presumed dead, the headmistress, knowing she will not receive any more money, forces the girl to become a servant."
1682,1682. The Boy Who Harnessed the Wind,2019,7.6,113,47000,TV-PG,68,"Against all the odds, a thirteen-year-old boy in Malawi invents an unconventional way to save his family and village from famine."
1683,1683. Short Cuts,1993,7.6,188,48000,R,81,The day-to-day lives of several suburban Los Angeles residents.
1684,1684. Freedom Writers,2007,7.6,123,87000,PG-13,64,"Erin Gruwell, a young teacher in a racially divided Los Angeles school, inspires her class of at-risk students, deemed incapable of learning, to learn tolerance, apply themselves, and pursue education beyond high school."
1685,1685. Maurice,1987,7.6,140,25000,R,75,"Two English school chums find themselves falling in love at Cambridge. To regain his place in society, Clive gives up Maurice and marries. While staying with Clive and his wife, Maurice discovers romance in the arms of the gamekeeper Alec."
1686,1686. 25th Hour,2002,7.6,135,187000,R,69,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term."
1687,1687. United 93,2006,7.6,111,113000,R,90,"A real-time account of the events on United Flight 93, one of the planes hijacked on September 11th, 2001 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot."
1688,1688. Godzilla,1954,7.6,96,42000,Not Rated,79,"After a dinosaur-like beast - awoken from undersea hibernation by atom bomb testing - ravages Tokyo, a scientist must decide if his similarly dangerous weapon should be used to destroy it."
1689,1689. 50/50,2011,7.6,100,347000,R,72,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
1690,1690. Gilda,1946,7.6,110,37000,Approved,N/A,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.
1691,1691. Marcel the Shell with Shoes On,2021,7.6,90,30000,PG,80,A cash-strapped documentary maker decides to make his newest documentary about a mollusk shell he finds living in his Airbnb with his friends.
1692,1692. Io Capitano,2023,7.6,121,15000,Not Rated,79,"A Homeric fairy tale that tells the adventurous journey of two young boys, Seydou and Moussa, who leave Dakar to reach Europe."
1693,1693. Volver,2006,7.6,121,109000,R,84,"After her death, a mother returns to her home town in order to fix the situations she couldn't resolve during her life."
1694,1694. Shelter,2007,7.6,97,25000,R,66,"When his college dreams are sidelined by family obligations, a young man finds comfort in surfing with his best friend's brother."
1695,1695. The Muppet Movie,1979,7.6,95,41000,G,74,"Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit."
1696,1696. Shane,1953,7.6,118,46000,Approved,85,An ex-gunfighter defends homesteaders in 1889 Wyoming.
1697,1697. The Kite Runner,2007,7.6,128,83000,PG-13,61,"Amir lives in California with his wife Soraya. He receives a call from his uncle Rahim Khan who urges him to travel to Afghanistan and rescue the son of Amir's childhood servant and friend, Hassan."
1698,1698. McCabe & Mrs. Miller,1971,7.6,120,29000,R,93,"A gambler and a prostitute become business partners in a remote Old West mining town, and their enterprise thrives until a large corporation arrives on the scene."
1699,1699. On Golden Pond,1981,7.6,109,36000,PG,68,"Curmudgeon Norman is estranged from his daughter Chelsea. Nevertheless, at Golden Pond he and his wife agree to look after Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms."
1700,1700. From Here to Eternity,1953,7.6,118,52000,Approved,85,"At a U.S. Army base in 1941 Hawaii, a pugilistic private is cruelly punished for refusing to join his unit's boxing team. Meanwhile, his commanding officer's wife and top NCO are indulging in a torrid love affair."
1701,"1701. Duck, You Sucker!",1971,7.6,138,39000,PG,77,A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution.
1702,1702. Better Days,2019,7.6,135,15000,N/A,83,"While she copes with the pressures of her final examinations, a bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants."
1703,1703. Peeping Tom,1960,7.6,101,41000,Not Rated,N/A,"A young man murders women, using a movie camera to film their dying expressions of terror."
1704,1704. The Station Agent,2003,7.6,89,75000,R,81,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss."
1705,1705. Nashville,1975,7.6,160,29000,R,96,"Over the course of a few hectic days, numerous interrelated people prepare for a political convention."
1706,1706. My Life as a Dog,1985,7.6,101,23000,Unrated,82,"In the late '50s, young Ingemar learns a lot about life and himself when he is sent away from his sick mother to live with his aunt and uncle in a town full of eccentrics."
