Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description
108,108. 96,2018,8.5,158,40000,N/A,N/A,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
109,109. The Hole,1960,8.5,131,21000,Not Rated,N/A,Distrust and uncertainty arise when four long-term inmates cautiously induct a new prisoner into their elaborate prison-break scheme.
110,110. Intoxicated by Love,2024,8.5,118,11000,N/A,N/A,"Story of Rumi, his friendship with Shams Tabrizi, the love he had for him and the great influence of Shams over him in his life, his poetry and his love for God."
111,111. For Sama,2019,8.5,100,13000,TV-PG,89,FOR SAMA is both an intimate and epic journey into the female experience of war.
112,112. Gol Maal,1979,8.5,120,21000,Not Rated,N/A,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.
113,113. Jersey,2019,8.5,157,24000,Not Rated,N/A,A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.
114,114. Sarpatta Parambarai,2021,8.5,173,26000,N/A,N/A,"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mother and dangerous politics?"
115,115. Kaiva,2023,8.5,138,69000,N/A,N/A,"Inspired from the true incidents occurred in Bengaluru - 1983, Kaiva brings the visual grandeur of Old Bengaluru showing the lights of world famous Bengaluru Karaga and the dark underworld of the city as well."
116,116. Thalapathi,1991,8.5,157,14000,Not Rated,N/A,An orphan named Surya raised in a slum befriends a good crime boss named Devaraj and works for him. Their existence is threatened when a new honest district collector arrives.
117,117. Home,2009,8.5,118,23000,Not Rated,47,"With aerial footage from fifty-four countries, 'Home' is a depiction of how Earth's problems are all interlinked."
118,118. The Girl with the Red Scarf,1977,8.5,90,17000,N/A,N/A,"Story of a dilemma between a woman's love and her logic. Asya, a young girl with a strict mother, meets Ilyas, who is a womanizer city man, and they quickly fall in love. They get over the hardships and have a happy marriage. However, after he helps a man one night, Ilyas' life changes forever and he leaves Asya and their son for another woman and doesn't come back."
119,119. The King of the Street Cleaners,1977,8.5,80,22000,N/A,N/A,"Going through his daily routine in a stereotypical neighborhood, a street cleaner falls in love with a charwoman. Unfortunately for him, so does his boss."
120,120. Zübük,1980,8.5,88,12000,N/A,N/A,"Zübük gets expelled from the political party that he is a member of, due to corruption. The journalist Yasar wants to make a news story about his case and investigates Zübük's doings. Yasar gets baffled at the sly tricks Zübük played on his village people."
121,121. Inglourious Basterds,2009,8.4,153,1700000,R,69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
122,122. Avengers: Endgame,2019,8.4,181,1300000,PG-13,78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
123,123. Memento,2000,8.4,113,1400000,R,83,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers."
124,124. Apocalypse Now,1979,8.4,147,733000,R,94,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
125,125. Raiders of the Lost Ark,1981,8.4,115,1100000,PG,86,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers."
126,126. The Dark Knight Rises,2012,8.4,164,1900000,PG-13,78,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
127,127. Aliens,1986,8.4,137,800000,R,84,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
128,128. The Shining,1980,8.4,146,1200000,R,68,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future."
129,129. Avengers: Infinity War,2018,8.4,149,1300000,PG-13,68,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
130,130. Maharaja,2024,8.4,141,62000,N/A,N/A,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds."
131,131. Spider-Man: Into the Spider-Verse,2018,8.4,117,713000,PG,87,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
132,132. Amadeus,1984,8.4,160,443000,PG,87,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
133,133. Your Name.,2016,8.4,106,346000,N/A,81,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
134,134. The Lives of Others,2006,8.4,137,423000,R,89,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives."
135,135. Coco,2017,8.4,105,634000,PG,81,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
136,136. WALL·E,2008,8.4,98,1200000,G,95,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind."
137,137. 3 Idiots,2009,8.4,170,452000,PG-13,67,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
138,138. Das Boot,1981,8.4,149,275000,N/A,85,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
139,139. Sunset Boulevard,1950,8.4,110,246000,Approved,94,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
140,140. Capernaum,2018,8.4,126,113000,R,75,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
141,141. Witness for the Prosecution,1957,8.4,116,147000,Approved,76,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
142,142. Lost Ladies,2023,8.4,122,48000,TV-14,N/A,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments."
143,143. Paths of Glory,1957,8.4,88,223000,Approved,90,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.
144,144. Meiyazhagan,2024,8.4,177,13000,N/A,N/A,A man's life is changed when he bumps into someone from his hometown in this moving Tamil-language drama; gentle scenes are occasionally punctuated by sporting threat and recollections of violence.
145,145. High and Low,1963,8.4,143,58000,Not Rated,90,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
146,146. The Great Dictator,1940,8.4,125,246000,G,N/A,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
147,147. Kaithi,2019,8.4,145,46000,N/A,N/A,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
148,148. Samsara,2011,8.4,102,39000,PG-13,65,"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders."
149,149. Woman in the Dunes,1964,8.4,147,24000,Not Rated,N/A,An entomologist on vacation is trapped by local villagers into living with a woman whose life task is shoveling sand for them.
