Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3,Genre 1,Genre 2,Genre 3,KMeans Cluster,Agglomerative Cluster
Spider-Man: Across the Spider-Verse,0.9907407407407404,0.5789473684210527,0.1614173228346457,0.1424749163879598,PG,0.8055555555555556,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",Ertem Egilmez,Münir Özkul, Kemal Sunal, Halit Akçatepe,Comedy,,,0,2
Once Upon a Time in the West,0.4814814814814809,0.5789473684210527,0.2125984251968503,0.1183946488294314,12,0.75,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Ram,Mammootty, Sadhana, Anjali,Drama, Family,,0,2
Grave of the Fireflies,0.6666666666666643,0.5789473684210527,0.0590551181102362,0.1100334448160535,12A,0.9166666666666669,A young boy and his little sister struggle to survive in Japan during World War II.,Directors,Stars,,,Genres,,,0,2
Casablanca,0.2407407407407404,0.5789473684210527,0.0866141732283464,0.2060200668896321,U,1.0,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Frank Darabont,Tim Robbins, Morgan Freeman, Bob Gunton,Drama,,,0,2
Psycho,0.4074074074074083,0.5789473684210527,0.1003937007874015,0.245819397993311,15,0.9583333333333331,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,Yûichirô Hayashi,Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue,Animation, Action, Drama,0,2
Untouchable,0.8796296296296298,0.5789473684210527,0.1062992125984252,0.3197324414715719,15,0.4027777777777778,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Francis Ford Coppola,Marlon Brando, Al Pacino, James Caan,Crime, Drama,,0,2
Rear Window,0.3518518518518512,0.5789473684210527,0.1062992125984252,0.1775919732441471,PG,1.0,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,Ertem Egilmez,Münir Özkul, Tarik Akan, Halit Akçatepe,Comedy,,,0,2
Cinema Paradiso,0.6666666666666643,0.5789473684210527,0.2283464566929134,0.0959866220735786,PG,0.7222222222222223,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.","Ram Mohan, Yûgô Sakô, Koichi Saski",Arun Govil, Nikhil Kapoor, Edie Mirman,Animation, Action, Adventure,0,2
Dear Zachary: A Letter to a Son About His Father,0.8518518518518512,0.5789473684210527,0.0688976377952756,0.0110367892976588,Not Rated,0.75,A filmmaker decides to memorialize a murdered friend when his friend's ex-girlfriend announces she is expecting his son.,Sidney Lumet,Henry Fonda, Lee J. Cobb, Martin Balsam,Crime, Drama,,0,2
Modern Times,0.1851851851851833,0.5789473684210527,0.0570866141732283,0.0869565217391304,U,0.9444444444444444,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Christopher Nolan,Christian Bale, Heath Ledger, Aaron Eckhart,Action, Crime, Drama,0,2
City Lights,0.1388888888888892,0.5789473684210527,0.0570866141732283,0.0652173913043478,U,0.9861111111111112,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Steven Spielberg,Liam Neeson, Ralph Fiennes, Ben Kingsley,Biography, Drama, History,0,2
20 Days in Mariupol,0.9907407407407404,0.5789473684210527,0.0728346456692913,0.0050167224080267,18,0.7638888888888888,"As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities.",Peter Jackson,Elijah Wood, Viggo Mortensen, Ian McKellen,Adventure, Drama, Fantasy,0,2
Senna,0.8703703703703702,0.5789473684210527,0.0944881889763779,0.0234113712374581,12A,0.7083333333333333,"A documentary on Brazilian Formula One racing driver Ayrton Senna, who won the F1 world championship three times before his death at age 34.",Anuj Bhardwaj,Suzanne Bernert,,,Documentary, History,,0,2
The Best of Youth,0.8055555555555536,0.5789473684210527,0.6220472440944882,0.0050167224080267,R,0.8472222222222221,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.,Peter Jackson,Elijah Wood, Ian McKellen, Orlando Bloom,Adventure, Drama, Fantasy,0,2
For Sama,0.9537037037037024,0.5789473684210527,0.0826771653543307,0.0010033444816053,18,0.8472222222222221,FOR SAMA is both an intimate and epic journey into the female experience of war.,Christopher Nolan,Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page,Action, Adventure, Sci-Fi,0,2
Home,0.8611111111111107,0.5789473684210527,0.1181102362204724,0.0043478260869565,U,0.2638888888888889,"With aerial footage from fifty-four countries, 'Home' is a depiction of how Earth's problems are all interlinked.","Dusan Kovacevic, Bozidar 'Bota' Nikolic",Danilo 'Bata' Stojkovic, Bora Todorovic, Mira Banjac,Comedy, Drama,,2,0
Inglourious Basterds,0.8611111111111107,0.5263157894736836,0.187007874015748,0.5652173913043479,18,0.5694444444444444,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Ertem Egilmez,Kemal Sunal, Sener Sen, Halit Akçatepe,Comedy, History,,0,2
Avengers: Endgame,0.9537037037037024,0.5263157894736836,0.2421259842519685,0.431438127090301,12A,0.6944444444444444,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Ertem Egilmez,Münir Özkul, Tarik Akan, Kemal Sunal,Comedy,,,0,2
Raiders of the Lost Ark,0.6018518518518512,0.5263157894736836,0.1122047244094488,0.3645484949832776,PG,0.8055555555555556,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",Christopher Nolan,Matthew McConaughey, Anne Hathaway, Jessica Chastain,Adventure, Drama, Sci-Fi,0,2
Memento,0.7777777777777786,0.5263157894736836,0.108267716535433,0.4648829431438127,15,0.7638888888888888,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",Martin Scorsese,Robert De Niro, Ray Liotta, Joe Pesci,Biography, Crime, Drama,0,2
The Dark Knight Rises,0.8888888888888893,0.5263157894736836,0.2086614173228346,0.6321070234113713,12A,0.6944444444444444,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.","Lana Wachowski, Lilly Wachowski",Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss,Action, Sci-Fi,,0,2
The Shining,0.5925925925925917,0.5263157894736836,0.1732283464566929,0.3979933110367893,X,0.5555555555555556,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",Milos Forman,Jack Nicholson, Louise Fletcher, Michael Berryman,Drama,,,0,2
Avengers: Infinity War,0.9444444444444428,0.5263157894736836,0.1791338582677165,0.431438127090301,12A,0.5555555555555556,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Irvin Kershner,Mark Hamill, Harrison Ford, Carrie Fisher,Action, Adventure, Fantasy,0,2
Aliens,0.6481481481481488,0.5263157894736836,0.155511811023622,0.2648829431438127,18,0.7777777777777777,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",T.J. Gnanavel,Suriya, Lijo Mol Jose, Manikandan K.,Crime, Drama,,0,2
Apocalypse Now,0.5833333333333321,0.5263157894736836,0.1751968503937007,0.2424749163879598,X,0.9166666666666669,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Quentin Tarantino,Uma Thurman, Lucy Liu, Vivica A. Fox,Action, Crime, Thriller,0,0
Das Boot,0.6018518518518512,0.5263157894736836,0.1791338582677165,0.0892976588628762,AA,0.7916666666666667,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,Claude Lanzmann,Simon Srebnik, Michael Podchlebnik, Motke Zaïdl,Documentary, History, War,0,2
Spider-Man: Into the Spider-Verse,0.9444444444444428,0.5263157894736836,0.1161417322834645,0.2361204013377926,PG,0.8194444444444444,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,Jonathan Demme,David Byrne, Bernie Worrell, Alex Weir,Documentary, Music,,0,2
Amadeus,0.6296296296296298,0.5263157894736836,0.2007874015748031,0.1451505016722408,PG,0.8194444444444444,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",Madhavan,Madhavan, Simran, Rajit Kapoor,Biography, Drama,,0,2
Your Name.,0.9259259259259238,0.5263157894736836,0.0944881889763779,0.1130434782608695,12A,0.7361111111111112,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",Kiranraj K,Rakshit Shetty, Charlie, Sangeetha Sringeri,Adventure, Comedy, Drama,0,2
The Lives of Others,0.8333333333333321,0.5263157894736836,0.155511811023622,0.1384615384615384,15,0.8472222222222221,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",Sudha Kongara,Suriya, Aparna Balamurali, Paresh Rawal,Drama,,,0,2
3 Idiots,0.8611111111111107,0.5263157894736836,0.2204724409448819,0.1481605351170568,12A,0.5416666666666666,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Slobodan Sijan,Pavle Vuisic, Dragan Nikolic, Danilo 'Bata' Stojkovic,Adventure, Comedy, Drama,0,0
WALL·E,0.8518518518518512,0.5263157894736836,0.0787401574803149,0.3979933110367893,U,0.9305555555555556,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.","Dragan Bjelogrlic, Zoran Lisinac",Milan Maric, Tamara Dragicevic, Petar Bencina,Biography, Drama, Music,0,2
Coco,0.9351851851851832,0.5263157894736836,0.09251968503937,0.2096989966555184,PG,0.7361111111111112,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Ertem Egilmez,Kemal Sunal, Halit Akçatepe, Sener Sen,Comedy, History,,0,2
Capernaum,0.9444444444444428,0.5263157894736836,0.1338582677165354,0.0347826086956521,15,0.6527777777777777,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Mari Selvaraj,Kathir, Anandhi, Yogi Babu,Drama,,,0,2
Sunset Blvd.,0.3148148148148131,0.5263157894736836,0.1023622047244094,0.0789297658862876,PG,0.9166666666666669,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Fazil,Mohanlal, Shobana, Suresh Gopi,Comedy, Horror, Mystery,0,0
