Index,Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Stars,Genres
36.0,Jai Bhim,2021.0,8.7,164.0,224000.0,Not Rated,,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan","Crime, Drama"
37.0,Kill Bill: The Whole Bloody Affair,2006.0,8.7,247.0,18000.0,18,,"The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer.",Ertem Egilmez,"Münir Özkul, Tarik Akan, Halit Akçatepe",Comedy
38.0,Shoah,1985.0,8.7,566.0,11000.0,PG,99.0,Claude Lanzmann's epic documentary recounts the story of the Holocaust through interviews with witnesses - perpetrators as well as survivors.,"Ram Mohan, Yûgô Sakô, Koichi Saski","Arun Govil, Nikhil Kapoor, Edie Mirman","Animation, Action, Adventure"
39.0,Stop Making Sense,1984.0,8.7,88.0,22000.0,PG,94.0,A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs.,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam","Crime, Drama"
40.0,Rocketry: The Nambi Effect,2022.0,8.7,157.0,60000.0,12A,,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","Action, Crime, Drama"
41.0,777 Charlie,2022.0,8.7,164.0,43000.0,12A,,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,Directors,Stars,Genres
42.0,Soorarai Pottru,2020.0,8.7,153.0,127000.0,,,"Inspired by the book 'Simply Fly', the film tells the story of Nedumaaran Rajangam known to friends as Maara, the son of a teacher, who sets out to make the common man fly and takes on the most capital intensive industry in the world with the help of his friends, family and sheer will power.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",Drama
43.0,Who's Singin' Over There?,1980.0,8.7,86.0,17000.0,,,"It's April 5, 1941, somewhere in Serbia. A group of people go on a bus to Belgrade, on a journey that will change their lives forever.",Yûichirô Hayashi,"Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue","Animation, Action, Drama"
44.0,Toma,2021.0,8.7,140.0,13000.0,,,"Biopic about Toma Zdravkovic, the man who is remembered not only for his songs and the unique way he sang them, but also as a bohemian, both in his behavior and his soul.",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan","Crime, Drama"
45.0,"Saban, Son of Saban",1977.0,8.7,90.0,19000.0,,,"Husamettin the commander in the army is constantly bothered by the stupidity of one of his soldiers Saban. After discharge from the army, Saban and his friend Ramazan work in a night club as member of the band. They ran again into Husamettin and his in laws, but things gets complicated when the diamond of the family is been stolen.",Ertem Egilmez,"Münir Özkul, Tarik Akan, Halit Akçatepe",Comedy
46.0,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,2020.0,8.7,138.0,17000.0,,,Tanjiro teams up with Zenitsu and Inosuke to investigate missing person cases on the mountain Natagumo. They slowly begin to realize the entire mountain is being controlled by a family of Demon spider creatures.,"Ram Mohan, Yûgô Sakô, Koichi Saski","Arun Govil, Nikhil Kapoor, Edie Mirman","Animation, Action, Adventure"
47.0,Pariyerum Perumal,2018.0,8.7,154.0,19000.0,,,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam","Crime, Drama"
48.0,Manichitrathazhu,1993.0,8.7,169.0,13000.0,12A,,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","Action, Crime, Drama"
