Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann","Drama, War"
"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld","Animation, Action, Adventure"
Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge","Biography, Drama, Music"
Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita","Animation, Drama, Fantasy"
Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch","Drama, Mystery, Thriller"
Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh","Comedy, Drama"
Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin","Animation, Adventure, Family"
"Lee Unkrich, Adrian Molina","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt","Animation, Adventure, Drama"
Nithilan Saminathan,"Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas","Action, Crime, Drama"
Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole",Drama
Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim","Drama, Film-Noir"
Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton","Crime, Drama, Mystery"
Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie","Comedy, Drama, War"
Filipe Valerim,"Roberto Mallet, Felipe de Barros, Sergio Barreto",Drama
Kiran Rao,"Nitanshi Goel, Pratibha Ranta, Sparsh Shrivastava","Comedy, Drama"
Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou","Drama, War"
Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai","Crime, Drama, Mystery"
Ron Fricke,"Balinese Tari Legong Dancers, Ni Made Megahadi Pratiwi, Puti Sri Candra Dewi","Documentary, Music"
Hiroshi Teshigahara,"Eiji Okada, Kyôko Kishida, Kôji Mitsui","Drama, Thriller"
C. Prem Kumar,"Karthi, Arvind Swamy, Devadarshini Chetan","Drama, Family"
Lokesh Kanagaraj,"Karthi, Narain, Arjun Das","Action, Crime, Thriller"
"Juliano Ribeiro Salgado, Wim Wenders","Sebastião Salgado, Wim Wenders, Lélia Wanick Salgado","Documentary, Biography, History"
Louie Psihoyos,"Richard O'Barry, Louie Psihoyos, Hardy Jones","Documentary, Biography, Crime"
Satyajit Ray,"Soumitra Chatterjee, Sharmila Tagore, Alok Chakravarty",Drama
Ivo Caprino,"Wenche Foss, Per Theodor Haugen, Harald Heide-Steen Jr.","Animation, Comedy, Family"
Vetrimaaran,"Dhanush, Ameer Sultan, Radha Ravi","Action, Crime, Drama"
Kamal Tabrizi,"Parviz Parastui, Bahram Ebrahimi, Reza Saeedi","Comedy, Drama"
Anurag Kashyap,"Kay Kay Menon, Pawan Malhotra, Aditya Srivastav","Action, Crime, Drama"
Yavuz Turgul,"Sener Sen, Ugur Yücel, Sermin Hürmeriç","Comedy, Drama, Music"
"Masashi Koizuka, Tetsurô Araki","Yûki Kaji, Yui Ishikawa, Marina Inoue","Animation, Action, Adventure"
Vetrimaaran,"Dhanush, Manju Warrier, Prakash Raj","Action, Drama"
Nae Caranfil,"Mircea Diaconu, Gheorghe Dinica, Mara Nicolescu","Comedy, Drama"
Vetrimaaran,"Dinesh, Samuthirakani, Anandhi","Crime, Drama, Thriller"
Jeethu Joseph,"Mohanlal, Meena, Ansiba","Crime, Drama, Mystery"
Nag Ashwin,"Keerthy Suresh, Dulquer Salmaan, Samantha Ruth Prabhu","Biography, Drama"
Radivoje Andric,"Sergej Trifunovic, Marija Karan, Nebojsa Glogovac",Comedy
Mohan Raja,"Ravi Mohan, Arvind Swamy, Nayanthara","Action, Crime, Drama"
Leonid Gaidai,"Aleksandr Demyanenko, Mikhail Pugovkin, Aleksei Smirnov","Comedy, Crime, Drama"
Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon","Biography, Drama, History"
Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly",Drama
Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer","Action, Crime, Drama"
Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius","Drama, Thriller, War"
Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson","Drama, Romance, Sci-Fi"
George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw","Comedy, Crime, Drama"
Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch",Drama
Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette","Drama, Mystery, War"
Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer","Crime, Drama"
Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck","Drama, Romance"
Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong","Action, Drama, Mystery"
Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan","Biography, Drama, War"
Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark","Drama, War"
Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester","Adventure, Sci-Fi"
Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz","Crime, Drama, Thriller"
Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp",Drama
Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen","Crime, Thriller"
Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern","Crime, Drama"
John Lasseter,"Tom Hanks, Tim Allen, Don Rickles","Animation, Adventure, Comedy"
"Stanley Donen, Gene Kelly","Gene Kelly, Donald O'Connor, Debbie Reynolds","Comedy, Musical, Romance"
Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.","Biography, Drama, History"
Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher","Action, Adventure, Fantasy"
Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus","Comedy, Romance"
David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn","Adventure, Biography, Drama"
Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden","Comedy, War"
"Pete Docter, Bob Peterson","Edward Asner, Jordan Nagai, John Ratzenberger","Animation, Adventure, Comedy"
Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka","Animation, Adventure, Fantasy"
Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack","Animation, Adventure, Comedy"
Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich","Drama, Sci-Fi"
Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes","Mystery, Romance, Thriller"
Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore","Drama, Mystery"
Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray","Comedy, Drama, Romance"
Robert Mulligan,"Gregory Peck, John Megna, Frank Overton","Crime, Drama"
Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson","Crime, Drama, Film-Noir"
Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason","Adventure, Drama, Mystery"
Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat",Drama
Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh","Action, Biography, Drama"
Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut","Crime, Mystery, Thriller"
Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori",Drama
Vetrimaaran,"Soori, Vijay Sethupathi, Bhavani Sre","Action, Crime, Drama"
