Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Stars
3144,3144. The Spiral Staircase,1946,7.3,83,12000,Approved,,"In 1916, a shadowy serial killer is targeting women with ""afflictions""; one night during a thunderstorm, the mute Helen feels menaced.",Robert Siodmak,"Dorothy McGuire, George Brent, Ethel Barrymore"
3145,3145. Three Monkeys,2008,7.3,109,23000,Not Rated,73.0,A family suffers from a major communication breakdown during their struggle to get through their hardships.,Nuri Bilge Ceylan,"Yavuz Bingöl, Hatice Aslan, Ahmet Rifat Sungar"
3146,3146. Let the Bullets Fly,2010,7.3,132,14000,Not Rated,66.0,"In 1920s China, a bandit arrives in a remote provincial town posing as its new mayor, where he faces off against a tyrannical local nobleman.",Wen Jiang,"Chow Yun-Fat, Wen Jiang, You Ge"
3147,3147. Palm Trees in the Snow,2015,7.3,163,13000,,,"After the death of her father, a young Spanish woman discovers a partial letter. As she searches for the answers, she embarks on a journey that takes her back to Africa, where she unfolds the secrets of her family.",Fernando González Molina,"Mario Casas, Adriana Ugarte, Macarena García"
3148,3148. Easter Parade,1948,7.3,103,11000,Approved,,A nightclub performer hires a naive chorus girl to become his new dance partner to make his former partner jealous and to prove he can make any partner a star.,Charles Walters,"Judy Garland, Fred Astaire, Peter Lawford"
3149,3149. A Coffee in Berlin,2012,7.3,86,18000,Not Rated,63.0,An aimless university dropout attempts to make sense of life as he spends one fateful day wandering the streets of Berlin.,Jan-Ole Gerster,"Tom Schilling, Katharina Schüttler, Justus von Dohnányi"
3150,3150. Graduation,2016,7.3,128,15000,R,84.0,A film about compromises and the implications of the parent's role.,Cristian Mungiu,"Adrian Titieni, Maria Dragus, Lia Bugnar"
3151,3151. Journey to Italy,1954,7.3,97,13000,Approved,100.0,An unhappily married couple attempts to find direction and insight while vacationing in Naples.,Roberto Rossellini,"Ingrid Bergman, George Sanders, Maria Mauban"
3152,3152. Crossfire,1947,7.3,86,10000,Approved,,"A man is murdered, apparently by one of a group of demobilized soldiers he met in a bar. But which one? And why?",Edward Dmytryk,"Robert Young, Robert Mitchum, Robert Ryan"
3153,3153. My Hero Academia: Two Heroes,2018,7.3,96,14000,PG-13,,"All Might and Deku accept an invitation to visit an artificial floating island called I-Island, where they fight a villain who takes the city hostage.",Kenji Nagasaki,"Daiki Yamashita, Kenta Miyake, Mirai Shida"
3154,3154. The Ignorant Fairies,2001,7.3,106,10000,R,69.0,"After a deadly car accident, Antonia starts dating her husband's friends and finds the truth about his life.",Ferzan Özpetek,"Margherita Buy, Stefano Accorsi, Serra Yilmaz"
3155,3155. The Body Snatcher,1945,7.3,78,11000,Approved,74.0,A ruthless doctor and his young prize student find themselves continually harassed by their murderous supplier of illegal cadavers.,Robert Wise,"Boris Karloff, Bela Lugosi, Henry Daniell"
3156,3156. Polisse,2011,7.3,127,16000,Not Rated,74.0,A journalist covering police assigned to a juvenile division enters into an affair with one of her subjects.,Maïwenn,"Karin Viard, JoeyStarr, Marina Foïs"
3157,3157. Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005,7.3,105,12000,PG-13,,"Edward Elric, an alchemist from an alternate world, races to prevent the Thule Society from harnessing alchemy to wage war on his home.",Seiji Mizushima,"Vic Mignogna, Aaron Dismuke, Jason Liebrecht"
3158,3158. The Last Metro,1980,7.3,132,16000,PG,,"In occupied Paris, an actress married to a Jewish theater owner must keep him hidden from the Germans while doing both of their jobs.",François Truffaut,"Catherine Deneuve, Gérard Depardieu, Jean Poiret"
3159,3159. Gold,2018,7.3,151,15000,Not Rated,,The journey of a man who was instrumental in making India win its first Olympic gold medal as a free nation.,Reema Kagti,"Krishan Tandon, Hubertus Geller, Siddharth Kher"
3160,3160. La Chèvre,1981,7.3,91,11000,,,"A daughter of a millionaire, distinguished by incredible bad luck, goes missing. The idea how to find her is either insane or brilliant - to send after her an equally unlucky person.",Francis Veber,"Pierre Richard, Gérard Depardieu, Pedro Armendáriz Jr."
3161,3161. Red Sorghum,1988,7.3,91,10000,Not Rated,,"When a leprous winery owner in 1930s China dies a few days after his arranged marriage, his young widow is forced to run the winery to make a living while contending with bandits, her drunkard lover, and the invading Japanese army.",Yimou Zhang,"Gong Li, Wen Jiang, Rujun Teng"
3162,3162. Vaathi,2023,7.3,139,11000,,,"When a private school teacher is assigned to a neglected public school, he must overcome personal and political strife in his fight for education.",Venky Atluri,"Dhanush, Samyuktha Menon, Aadukalam Naren"
3163,3163. Phir Hera Pheri,2006,7.3,153,29000,,,"A twist of fate changes the lives of Raju, Shyam and Baburao when they get cheated by a fraudster. They must now find a way to repay a loan taken from a dreaded gangster.",Neeraj Vora,"Akshay Kumar, Suniel Shetty, Paresh Rawal"
3164,3164. Monsieur Ibrahim,2003,7.3,95,12000,R,69.0,"In Paris, a Turkish shop owner befriends a Jewish boy in his mid-teens.",François Dupeyron,"Omar Sharif, Pierre Boulanger, Gilbert Melki"
3165,3165. Labyrinth of Lies,2014,7.3,124,14000,R,62.0,A story that exposes the conspiracy of prominent German institutions and government branches to cover up the crimes of Nazis during World War II.,Giulio Ricciarelli,"André Szymanski, Alexander Fehling, Friederike Becht"
3166,3166. Truman,2015,7.3,108,14000,TV-14,81.0,"Julián receives an unexpected visit from his friend Tomás, who lives in Canada. The two men, accompanied by Julián's faithful dog, Truman, will share emotional and surprising moments prompted by Julián's complicated situation.",Cesc Gay,"Ricardo Darín, Javier Cámara, Dolores Fonzi"
3167,3167. The Parade,2011,7.3,115,13000,Not Rated,,"A homophobic Serbian gangster is forced to make a deal with wedding planner gay activist, to assemble a team which will protect the upcoming Pride Parade in Belgrade, and in exchange his fiancée can get her dream wedding.",Srdjan Dragojevic,"Nikola Kojo, Milos Samolov, Hristina Popovic"
3168,3168. The Son's Room,2001,7.3,99,22000,R,73.0,A psychoanalyst and his family go through profound emotional trauma when their son dies in a scuba-diving accident.,Nanni Moretti,"Nanni Moretti, Laura Morante, Jasmine Trinca"
3169,3169. 61 Days,2016,7.3,115,16000,,,"In the 1970s, a boy named Adem starts working for soda seller Kemal during the holy month of Ramadan. Adem's only dream is to fast like the adults. He tries to perform this worship secretly from everyone.",Yüksel Aksu,"Cem Yilmaz, Berat Efe Parlar, Yilmaz Bayraktar"
3170,3170. Bully,2011,7.3,98,11000,PG-13,74.0,A documentary on peer-to-peer bullying in schools across America.,Lee Hirsch,"Alex Libby, Lona Johnson, Kelby Johnson"
3171,3171. Patema Inverted,2013,7.3,98,11000,Not Rated,66.0,"A young girl, from a civilization that resides in deep underground tunnels, finds herself trapped in an inverted world and teams up with a resident to escape and return home.",Yasuhiro Yoshiura,"Yukiyo Fujii, Nobuhiko Okamoto, Shintarô Ôhata"
3172,3172. Elena,2011,7.3,109,15000,Not Rated,87.0,"When a sudden illness and an unexpected reunion threaten dutiful housewife Elena's potential inheritance, she must hatch a desperate plan ...",Andrey Zvyagintsev,"Nadezhda Markina, Andrey Smirnov, Aleksey Rozin"
