Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Stars
465,465. Nights of Cabiria,1957,8.1,110,54000,Not Rated,,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Federico Fellini,"Giulietta Masina, François Périer, Franca Marzi"
466,466. The General,1926,8.1,78,101000,Passed,,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.","Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack, Glen Cavender"
467,467. The Passion of Joan of Arc,1928,8.1,114,63000,Passed,98.0,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley"
468,468. The Miracle Worker,1962,8.1,106,21000,Approved,83.0,"The story of Anne Sullivan's struggle to teach the blind, deaf and mute child Helen Keller how to understand and communicate.",Arthur Penn,"Anne Bancroft, Patty Duke, Victor Jory"
469,469. Blackfish,2013,8.1,83,74000,PG-13,83.0,"A documentary following the controversial captivity of killer whales, and its dangers for both humans and whales.",Gabriela Cowperthwaite,"Tilikum, Dave Duffus, Samantha Berg"
470,470. A Moment to Remember,2004,8.1,117,26000,PG-13,,A young couple's enduring love is tested when 27-year-old Su-jin is diagnosed with a rare form of Alzheimer's disease.,"Park Kyung-Jin, John H. Lee, Kim Tae-won","Jung Woo-sung, Son Ye-jin, Baek Jong-hak"
471,471. Wolf Children,2012,8.1,117,51000,PG,76.0,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",Mamoru Hosoda,"Aoi Miyazaki, Takao Osawa, Haru Kuroki"
472,472. Farewell My Concubine,1993,8.1,171,35000,R,84.0,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history.,Kaige Chen,"Leslie Cheung, Fengyi Zhang, Gong Li"
473,473. Jean de Florette,1986,8.1,120,28000,PG,,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.,Claude Berri,"Yves Montand, Gérard Depardieu, Daniel Auteuil"
474,474. Z,1969,8.1,127,32000,M/PG,86.0,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,Costa-Gavras,"Yves Montand, Irene Papas, Jean-Louis Trintignant"
475,475. Diabolique,1955,8.1,117,71000,Not Rated,,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,Henri-Georges Clouzot,"Simone Signoret, Véra Clouzot, Paul Meurisse"
476,476. Inherit the Wind,1960,8.1,128,34000,Approved,75.0,"Based on a real-life case in 1925; two great lawyers argue the case for, and against, a Tennessee science teacher accused of the crime of teaching Darwin's theory of evolution.",Stanley Kramer,"Spencer Tracy, Fredric March, Gene Kelly"
477,477. Barfi!,2012,8.1,151,89000,Not Rated,,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,Anurag Basu,"Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz"
478,478. A Christmas Carol,1951,8.1,86,27000,Approved,,"Ebenezer Scrooge, a curmudgeonly, miserly businessman, has no time for sentimentality and largely views Christmas as a waste of time. However, this Christmas Eve, he will be visited by three spirits who will show him the error of his ways.",Brian Desmond Hurst,"Alastair Sim, Jack Warner, Kathleen Harrison"
479,479. The First Slam Dunk,2022,8.1,124,11000,PG-13,79.0,"Follows 17-year-old Ryota Miyagi, who struggles to accomplish his late elder brother's dream of becoming a basketball star.",Takehiko Inoue,"Shugo Nakamura, Jun Kasama, Shinichiro Kamio"
480,480. Autumn Sonata,1978,8.1,99,39000,PG,,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.",Ingmar Bergman,"Ingrid Bergman, Liv Ullmann, Lena Nyman"
481,481. The Twilight Samurai,2002,8.1,129,26000,,82.0,"As the feudal Japan era draws to a close, a widower samurai experiences difficulty balancing clan loyalties, 2 young daughters, an aged mother, and the sudden reappearance of his childhood sweetheart.",Yôji Yamada,"Hiroyuki Sanada, Rie Miyazawa, Nenji Kobayashi"
482,482. Army of Shadows,1969,8.1,145,27000,Not Rated,99.0,An account of underground resistance fighters in Nazi-occupied France.,Jean-Pierre Melville,"Lino Ventura, Paul Meurisse, Jean-Pierre Cassel"
483,483. Where Is the Friend's House?,1987,8.1,83,20000,Not Rated,,"Eight-year-old Ahmed has mistakenly taken his friend Mohammad's notebook. He wants to return it, or else his friend will be expelled from school. The boy determinedly sets out to find Mohammad's home in the neighbouring village.",Abbas Kiarostami,"Babek Ahmedpoor, Ahmed Ahmedpoor, Khodabakhsh Defaei"
484,484. Ugetsu,1953,8.1,96,27000,Not Rated,,"A tale of ambition, family, love, and war set in the midst of the Japanese Civil Wars of the sixteenth century.",Kenji Mizoguchi,"Masayuki Mori, Machiko Kyô, Kinuyo Tanaka"
485,485. Udaan,2010,8.1,134,48000,Not Rated,,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Vikramaditya Motwane,"Rajat Barmecha, Ronit Roy, Manjot Singh"
486,486. Lagaan: Once Upon a Time in India,2001,8.1,224,123000,PG,84.0,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,"Aamir Khan, Raghubir Yadav, Gracy Singh"
487,487. Raise the Red Lantern,1991,8.1,125,36000,PG,,"China in the 1920s. After her father's death, Songlian is forced to marry the wealthy Master Chen. With three wives already, each living in a separate house, there is fierce competition for his attention and the privileges that are gained.",Yimou Zhang,"Gong Li, Jingwu Ma, Saifei He"
488,488. Faust,1926,8.1,107,17000,Not Rated,,The demon Mephisto wagers with God that he can corrupt a mortal man's soul.,F.W. Murnau,"Gösta Ekman, Emil Jannings, Camilla Horn"
489,489. The Gold Rush,1925,8.1,95,122000,Approved,,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray"
490,490. Chak De! India,2007,8.1,153,87000,Not Rated,68.0,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Shimit Amin,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge"
491,491. Ace in the Hole,1951,8.1,111,40000,Approved,72.0,"Frustrated former journalist Chuck Tatum now working for an Albuquerque newspaper exploits a story about trading post owner Leo Minosa trapped in a cave to rekindle Chuck's career, but the story soon escalates into a media circus.",Billy Wilder,"Kirk Douglas, Jan Sterling, Robert Arthur"
492,492. Masaan,2015,8.1,109,33000,,,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.",Neeraj Ghaywan,"Richa Chadha, Sanjay Mishra, Vicky Kaushal"
493,493. Queen,2013,8.1,146,69000,Not Rated,,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon"
494,494. Time of the Gypsies,1988,8.1,142,33000,R,,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",Emir Kusturica,"Davor Dujmovic, Bora Todorovic, Ljubica Adzovic"
495,495. Rang De Basanti,2006,8.1,167,124000,Not Rated,,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan, Siddharth"
496,496. White Heat,1949,8.1,114,37000,Approved,89.0,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Raoul Walsh,"James Cagney, Virginia Mayo, Edmond O'Brien"
497,497. Still: A Michael J. Fox Movie,2023,8.1,95,17000,R,78.0,"Follows the life of beloved actor and advocate Michael J. Fox, exploring his personal and professional triumphs and travails, and what happens when an incurable optimist confronts an incurable disease.",Davis Guggenheim,"Michael J. Fox, Davis Guggenheim, Tracy Pollan"
498,498. A Wednesday,2008,8.1,104,84000,Not Rated,,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,Neeraj Pandey,"Anupam Kher, Naseeruddin Shah, Virendra Saxena"
499,499. A Short Film About Love,1988,8.1,87,27000,Not Rated,,"A naive inexperienced young man spies on a woman who lives across the courtyard, and falls in love with her. He starts using tricks which he hopes will lead to them meeting.",Krzysztof Kieslowski,"Grazyna Szapolowska, Olaf Lubaszenko, Stefania Iwinska"
500,500. Apollo 11,2019,8.1,93,28000,G,88.0,A look at the Apollo 11 mission to land on the moon led by commander Neil Armstrong and pilots Buzz Aldrin and Mike Collins.,Todd Douglas Miller,"Neil Armstrong, Mike Collins, Buzz Aldrin"
501,501. The Heiress,1949,8.1,115,18000,Approved,,A naive young woman falls for a handsome young man her emotionally abusive father suspects is only a fortune hunter.,William Wyler,"Olivia de Havilland, Montgomery Clift, Ralph Richardson"
502,502. Miracle in Cell No. 7,2013,8.1,127,25000,,,A story about the love between a mentally-ill father and his lovingly adorable daughter.,Hwan-kyung Lee,"Ryu Seung-ryong, Kal So-won, Oh Dal-su"
503,503. Guilty,2015,8.1,132,39000,Not Rated,,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi"
504,504. The Grand Illusion,1937,8.1,113,40000,Not Rated,,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",Jean Renoir,"Jean Gabin, Dita Parlo, Pierre Fresnay"
505,505. Sholay,1975,8.1,162,60000,Not Rated,,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Ramesh Sippy,"Sanjeev Kumar, Dharmendra, Amitabh Bachchan"
506,506. Tangerines,2013,8.1,87,50000,Not Rated,73.0,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man, Ivo, has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",Zaza Urushadze,"Lembit Ulfsak, Elmo Nüganen, Giorgi Nakashidze"
507,507. A Special Day,1977,8.1,103,17000,Approved,,"Two neighbors, a persecuted journalist and a resigned housewife, meet during Hitler's visit to Italy in May 1938.",Ettore Scola,"Sophia Loren, Marcello Mastroianni, John Vernon"
508,508. Montevideo: Taste of a Dream,2010,8.1,140,13000,,,"A story about the Serbian football team that decided to follow a dream that takes them on a journey to the first football World Cup in Montevideo, Uruguay in 1930. A dream that allows them to become true stars and living legends.",Dragan Bjelogrlic,"Milos Bikovic, Petar Strugar, Nina Jankovic"
509,509. Rififi,1955,8.1,118,38000,Not Rated,97.0,"Four men plan a technically perfect crime, but the human element intervenes...",Jules Dassin,"Jean Servais, Carl Möhner, Robert Manuel"
510,510. Woodstock,1970,8.1,184,19000,R,95.0,Oscar-winning musical chronicle that brilliantly captures the three-day rock concert and celebration of peace and love that became a capstone for the Sixties.,Michael Wadleigh,"Joan Baez, Richie Havens, Roger Daltrey"
511,511. Innocence,1997,8.1,110,21000,,,Yusuf is released from prison after serving a ten-year sentence. He is scared of life outside as he goes to an address given to him by another prisoner.,Zeki Demirkubuz,"Güven Kiraç, Haluk Bilginer, Derya Alabora"
512,512. The Dawn Wall,2017,8.1,100,22000,Not Rated,81.0,"In an unbelievable story of perseverance, free climber Tommy Caldwell and climbing partner Kevin Jorgeson attempt to scale the impossible 3000ft Dawn Wall of El Capitan.","Josh Lowell, Peter Mortimer","John Branch, Tommy Caldwell, Kevin Jorgeson"
513,513. Munna Bhai M.B.B.S.,2003,8.1,156,91000,Not Rated,,A gangster sets out to fulfill his father's dream of becoming a doctor.,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh"
514,514. Hearts of Darkness: A Filmmaker's Apocalypse,1991,8.1,96,24000,R,,"Documentary that chronicles how Francis Ford Coppola's Apocalypse Now (1979) was plagued by extraordinary script, shooting, budget, and casting problems - nearly destroying the life and career of the celebrated director.","Fax Bahr, George Hickenlooper, Eleanor Coppola","Dennis Hopper, Martin Sheen, Marlon Brando"
515,515. The Bandit,1996,8.1,128,73000,Not Rated,,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Yavuz Turgul,"Sener Sen, Ugur Yücel, Sermin Hürmeriç"
516,516. Safety Last!,1923,8.1,74,24000,Not Rated,,A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.,"Fred C. Newmeyer, Sam Taylor","Harold Lloyd, Mildred Davis, Bill Strother"
517,517. The Circus,1928,8.1,72,37000,G,90.0,The Tramp finds work and the girl of his dreams at a circus.,Charles Chaplin,"Charles Chaplin, Merna Kennedy, Al Ernest Garcia"
518,518. Hridayam,2022,8.1,172,17000,,,"The emotional journey of Arun, his carefree bachelor days in engineering college, and how he matures through various phases of life.",Vineeth Sreenivasan,"Pranav Mohanlal, Kalyani Priyadarshan, Darshana Rajendran"
519,519. The Fog of War,2003,8.1,107,25000,PG-13,87.0,"The story of America as seen through the eyes of the former Secretary of Defense under President John F. Kennedy and President Lyndon B. Johnson, Robert McNamara.",Errol Morris,"Robert McNamara, John F. Kennedy, Fidel Castro"
520,520. The Color of Paradise,1999,8.1,90,19000,PG,80.0,"The story of Mohammed, a blind Iranian boy and his father, Hashem, who is always oscillating between accepting his son as he is and abandoning him, as he represents a burden for him, after the loss of his wife.",Majid Majidi,"Hossein Mahjoub, Mohsen Ramezani, Salameh Feyzi"
521,521. Section 375,2019,8.1,124,19000,,,"A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew, Anjali Dangle of having raped her at his residence.",Ajay Bahl,"Akshaye Khanna, Richa Chadha, Rahul Bhat"
522,522. OMG: Oh My God!,2012,8.1,125,67000,Not Rated,,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty"
523,523. Charlie,2015,8.1,130,14000,,,"A young, nonconforming woman named Tessa gets entangled in a cat-and-mouse chase in the by-lanes of Kerala, hunting for a mysterious artist who previously lived in her apartment.",Martin Prakkat,"Dulquer Salmaan, Parvathy Thiruvothu, Aparna Gopinath"
524,524. Major,2022,8.1,150,33000,Not Rated,,"Based on the life of Major Sandeep Unnikrishnan, who fought during the November 2008 Mumbai attacks.",Sashi Kiran Tikka,"Adivi Sesh, Prakash Raj, Revathi"
525,525. George Harrison: Living in the Material World,2011,8.1,208,13000,Not Rated,,"Filmmaker Martin Scorsese examines the life of musician George Harrison, weaving together interviews, concert footage, home movies and photographs.",Martin Scorsese,"George Harrison, Harry Harrison, Peter Harrison"
526,526. Seaspiracy,2021,8.1,89,35000,TV-14,,"Passionate about ocean life, a filmmaker sets out to document the harm that humans do to marine species - and uncovers alarming global corruption.",Ali Tabrizi,"Ali Tabrizi, Richard O'Barry, Lucy Tabrizi"
527,527. Collective,2019,8.1,109,14000,Not Rated,95.0,Director Alexander Nanau follows a crack team of investigators at the Romanian newspaper Gazeta Sporturilor as they try to uncover a vast health-care fraud that enriched moguls and politicians and led to the deaths of innocent citizens.,Alexander Nanau,"Dan Alexandru Condrea, Liviu Iolu, Razvan Lutac"
528,528. Sarfarosh,1999,8.1,174,28000,Not Rated,,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",John Mathew Matthan,"Aamir Khan, Naseeruddin Shah, Sonali Bendre"
529,529. Jo Jeeta Wohi Sikandar,1992,8.1,174,25000,Not Rated,,"A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race.",Mansoor Khan,"Aamir Khan, Ayesha Jhulka, Deepak Tijori"
530,530. Article 15,2019,8.1,130,38000,,,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa"
531,531. Black,2005,8.1,122,37000,Not Rated,,"Michelle, a disabled girl who can't see, hear, or speak, suffering in a world that has given up on her. But when the teacher Debraj enters her life, he becomes a ray of hope that she might pursue her passions and have a normal life.",Sanjay Leela Bhansali,"Amitabh Bachchan, Rani Mukerji, Shernaz Patel"
532,532. RangiTaranga,2015,8.1,149,16000,Not Rated,,"Mysterious events begin to unfold after a reclusive novelist and his wife move back to her ancestral village, followed by a journalist.",Anup Bhandari,"Nirup Bhandari, Radhika Narayan, Avantika Shetty"
533,533. Kahaani,2012,8.1,122,67000,Not Rated,,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",Sujoy Ghosh,"Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta"
534,534. The Tashkent Files,2019,8.1,134,36000,,,"Revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated.",Vivek Agnihotri,"Shweta Basu Prasad, Mithun Chakraborty, Naseeruddin Shah"
535,535. Cowspiracy: The Sustainability Secret,2014,8.1,90,27000,Not Rated,,"Follow the shocking, yet humorous, journey of an aspiring environmentalist, as he daringly seeks to find the real solution to the most pressing environmental issues and true path to sustainability.","Kip Andersen, Keegan Kuhn","Bruce Hamilton, Kip Andersen, Al Gore"
536,536. Indian,1996,8.1,185,15000,,,A veteran freedom fighter enraged with the rising crime and corruption in the society murders all the wrong doers one by one using an ancient martial arts technique.,S. Shankar,"Kamal Haasan, Sukanya, Manisha Koirala"
537,537. Early Summer,1951,8.1,125,10000,Not Rated,94.0,"A family chooses a match for their daughter Noriko, but she, surprisingly, has her own plans.",Yasujirô Ozu,"Setsuko Hara, Chishû Ryû, Chikage Awashima"
538,538. Thuppakki,2012,8.1,165,39000,Not Rated,,An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.,A.R. Murugadoss,"Joseph Vijay, Kajal Aggarwal, Vidyut Jammwal"
539,539. Pardon,2005,8.1,99,24000,,,"Based on a true event, the film tells the tragicomic story of three friends who end up in prison when they are mistaken as members of a terrorist organization.",Mert Baykal,"Ferhan Sensoy, Rasim Öztekin, Ali Çatalbas"
540,540. Anand,1971,8.1,122,36000,Not Rated,,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",Hrishikesh Mukherjee,"Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal"
541,541. Everything's Gonna Be Great,1998,8.1,107,29000,,,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan tried to double-cross. Along the way, the brother who are compete opposites finally bond.",Ömer Vargi,"Cem Yilmaz, Mazhar Alanson, Ceyda Düvenci"
542,542. The Great Indian Kitchen,2021,8.1,100,10000,,,"After marriage, a woman struggles to be the submissive wife that her husband and his family expect her to be. The story follows her journey, as she changes herself and, even more so, changes the household.",Jeo Baby,"Nimisha Sajayan, Suraj Venjaramoodu, Ajitha V.M."
543,543. Day of Wrath,1943,8.1,110,11000,Not Rated,,The young wife of an aging priest falls in love with his son amidst the horror of a merciless witch hunt in 17th-century Denmark.,Carl Theodor Dreyer,"Thorkild Roose, Lisbeth Movin, Sigrid Neiiendam"
544,544. Dara of Jasenovac,2020,8.1,130,82000,R,,A 10-year-old girl and her family come face-to-face with the horrors of the Holocaust when they are sent to a concentration camp in Croatia. She must summon the courage to protect herself and her infant brother while trying to escape.,Predrag Antonijevic,"Biljana Cekic, Zlatan Vidovic, Anja Stanic"
545,545. Day of the Wacko,2002,8.1,93,12000,Not Rated,,24 hours in the bitter life of a frustrated divorced teacher who stays in the vicious circle of his numerous obsessions.,Marek Koterski,"Marek Kondrat, Janina Traczykówna, Andrzej Grabowski"
546,546. Kaththi,2014,8.1,166,31000,TV-14,,A case of mistaken identity embroils an escaped convict in a fight against a large corporation intent on seizing a village's land.,A.R. Murugadoss,"Joseph Vijay, Samantha Ruth Prabhu, Neil Nitin Mukesh"
547,547. Virunga,2014,8.1,100,12000,Not Rated,95.0,A team of brave individuals risk their lives to protect the last mountain gorillas.,Orlando von Einsiedel,"André Bauma, Emmanuel de Merode, Mélanie Gouby"
548,548. Roja,1992,8.1,137,14000,,,"A woman from a village in Tamil Nadu marries a sophisticated city dweller and moves with him to Kashmir, where all is rosy - until he gets kidnapped by militants.",Mani Ratnam,"Arvind Swamy, Madhoo, Pankaj Kapur"
549,549. Iqbal,2005,8.1,132,18000,Not Rated,,"Iqbal, the deaf and mute son of a farmer, has a passion for the game of cricket and seeks the tutelage of a washed-up, alcoholic ex-player.",Nagesh Kukunoor,"Shreyas Talpade, Naseeruddin Shah, Shweta Basu Prasad"
550,550. Bombay,1995,8.1,130,14000,Not Rated,,"A Hindu man and a Muslim woman fall in love in a small village and move to Mumbai, where they have two children. However, growing religious tensions and erupting riots threaten to tear the family apart.",Mani Ratnam,"Arvind Swamy, Manisha Koirala, Nassar"
551,551. Zeitgeist: Moving Forward,2011,8.1,161,19000,Not Rated,,A feature length documentary work which presents a case for a needed transition out of the current socioeconomic monetary paradigm which governs the entire world society.,Peter Joseph,"Peter Joseph, Robert Sapolsky, Gabor Maté"
552,552. The Legend of Bhagat Singh,2002,8.1,155,18000,Not Rated,,The story of a young revolutionary who raised an armed resistance against the British rule in India.,Rajkumar Santoshi,"Ajay Devgn, Sushant Singh, D. Santosh"
553,553. Endless Corridor,2014,8.1,52,38000,,,"Narrated by Jeremy Irons, this definitive account tells of the heart-rending human rights tragedy in 1992 when hundreds of Azerbaijanis were massacred after Armenians stormed the city of Khojaly.","Aleksandras Brokas, Mindaugas Urbonavicius",Jeremy Irons
554,554. Dune: Part One,2021,8.0,155,934000,PG-13,74.0,"Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource.",Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Zendaya"
555,555. Lucky Baskhar,2024,8.0,148,26000,,,A cash-strapped cashier working at a bank embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.,Venky Atluri,"Dulquer Salmaan, Meenaakshi Chaudhary, Tinnu Anand"
556,556. Blade Runner 2049,2017,8.0,164,700000,R,81.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas"
557,557. The Straight Story,1999,8.0,112,101000,G,86.0,"Alvin Straight, a 73-year-old, learns that his estranged brother, Lyle is critically ill. Unable to drive, Alvin embarks on a journey from Iowa to Mt. Zion, by riding a lawn mower. Will he succeed?",David Lynch,"Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz"
558,558. The Revenant,2015,8.0,156,900000,R,76.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter"
559,559. The Princess Bride,1987,8.0,98,462000,PG,78.0,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Rob Reiner,"Cary Elwes, Mandy Patinkin, Robin Wright"
560,560. Guardians of the Galaxy,2014,8.0,121,1300000,PG-13,76.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper"
561,561. Her,2013,8.0,126,693000,R,91.0,"In the near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson"
562,562. La La Land,2016,8.0,128,706000,PG-13,94.0,"When Sebastian, a pianist, and Mia, an actress, follow their passion and achieve success in their respective fields, they find themselves torn between their love for each other and their careers.",Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt"
563,563. Donnie Darko,2001,8.0,113,873000,R,88.0,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Richard Kelly,"Jake Gyllenhaal, Jena Malone, Mary McDonnell"
564,564. The Martian,2015,8.0,144,956000,PG-13,80.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig"
565,565. The Incredibles,2004,8.0,115,842000,PG,90.0,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter"
566,566. The Avengers,2012,8.0,143,1500000,PG-13,69.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson"
567,567. Deadpool,2016,8.0,108,1200000,R,65.0,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller"
568,568. Sin City,2005,8.0,124,803000,R,74.0,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.","Frank Miller, Quentin Tarantino, Robert Rodriguez","Mickey Rourke, Clive Owen, Bruce Willis"
569,569. Black Swan,2010,8.0,108,849000,R,79.0,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel"
570,570. How to Make Millions Before Grandma Dies,2024,8.0,125,11000,TV-PG,74.0,"A man, driven by his desire for a multi-million dollar inheritance, begins to care for his terminally ill grandmother. However, winning her favor will not be an easy task and he is not the only one with an eye on the money.",Pat Boonnitipat,"Putthipong Assaratanakul, Usha Seamkhum, Sanya Kunakorn"
571,571. Sling Blade,1996,8.0,135,101000,R,85.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Billy Bob Thornton,"Billy Bob Thornton, Dwight Yoakam, J.T. Walsh"
572,572. Zootopia,2016,8.0,108,570000,PG,78.0,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba"
573,573. The Imitation Game,2014,8.0,114,845000,PG-13,71.0,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode"
574,574. Casino Royale,2006,8.0,144,711000,PG-13,80.0,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.",Martin Campbell,"Daniel Craig, Eva Green, Judi Dench"
575,575. Scent of a Woman,1992,8.0,156,343000,R,57.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Martin Brest,"Al Pacino, Chris O'Donnell, James Rebhorn"
576,576. Lion,2016,8.0,118,257000,PG-13,69.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara"
